Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
OAH--OA-G1,-23.0655536029,14.8974323098,-37.0786503703,-5.04,-2.54389831172,2.49610168828,2.49610168828,-0.8843355424,4.1556644576,4.1556644576,-8.5490069579,7.6646714151,-10.3370604628,246.923967651,-257.261028114,1.7884858038,-254.944552215,-2.3164759023,1.0061576349,269.664531114,-23.7467210943,-36.1090869375,12.3623658436,-0.0189484159,0.259937538,0.7336681806,0.0315003317,0.0,yes,no
OAH--OA-G2,14.5203881901,14.8974323098,-0.915581226,-4.25,-1.12102566302,3.12897433698,3.12897433698,0.5385371063,4.7885371063,4.7885371063,-6.8267597167,7.3652968227,-8.6115454254,239.826451457,-248.437996883,1.7884858038,-246.130957313,-2.3070395591,0.7261688304,263.862487177,-24.7622045488,-36.9815875383,12.2193829897,-0.1259647356,-0.2358915778,1.0286636352,0.0593615084,0.0,yes,no
OAH--OA-G3,93.6621511521,14.8974323098,90.8304323227,-5.06,-13.7252762497,-8.66527624972,8.66527624972,-12.0657134804,-7.0057134804,7.0057134804,-23.0073346455,10.9416211648,-24.7938906835,-310.148017702,285.354127018,1.7884858041,287.979801743,-2.625674723,2.1886659793,-286.351460734,-25.9852229477,-40.7407516328,14.7555286853,-0.1707422907,0.5264620373,1.6928077256,0.1401385065,0.0,yes,no
OAH--OA-G4,59.2518789259,14.8974323098,49.009038324,-9.37,-6.31415447722,3.05584552278,3.05584552278,-4.6545917079,4.7154082921,4.7154082921,-14.6984160863,10.0438243783,-16.4834247324,231.525107052,-248.008531784,1.7884858045,-245.191824718,-2.8167070728,0.0831565273,260.863987549,-29.4220370204,-48.3245560669,18.9025190475,-0.1217383084,-0.1780806096,0.3349786292,0.0479968162,0.0,yes,no
OAH--OA-G5,77.4999478849,14.8974323098,75.1082048,-4.50,-14.1652519942,-9.66525199422,9.66525199422,-12.5056892249,-8.0056892249,8.0056892249,-23.1228444608,10.6171552358,-24.9121846612,-309.221862106,284.309677444,1.7884858038,287.069671625,-2.7599941815,2.4157320902,-284.748133616,-26.8894605796,-47.6432765187,20.7538159386,-0.1938824672,-0.1346726828,2.6542810559,0.0900061839,0.0,yes,no
OAH--OA-G6,23.7133153801,14.8974323098,6.6896128278,-5.33,0.466707473183,5.79670747318,5.79670747318,2.1262702425,7.4562702425,7.4562702425,-6.9272017081,9.0534719503,-8.7208137616,236.392142558,-245.11295632,1.7884858039,-242.687905841,-2.4250504847,1.4814979708,258.958009489,-24.0473648972,-38.7794736595,14.7321087627,-0.2001893692,-0.6820441937,2.2566076419,0.1071238918,0.0,yes,no
OAMe--OA-G1,60.4237576328,95.0897212836,-37.0786503703,-5.24,0.753123950183,5.99312395018,5.99312395018,2.4126867195,7.6526867195,7.6526867195,-4.4365009319,6.8491876501,-6.2251888428,243.117249901,-249.342438744,1.7884858038,-246.970629635,-2.3718091068,0.9445446079,264.277390453,-22.1046851595,-36.3407894365,14.2361042766,-0.0033261929,-0.3076994012,1.2098015014,0.0457687008,0.0,yes,no
OAMe--OA-G2,94.3211434176,95.0897212836,-0.915581226,-5.04,-1.51255940932,3.52744059068,3.52744059068,0.14700336,5.18700336,5.18700336,-5.1376758177,5.2846791777,-6.9260441254,237.583973178,-244.510017303,1.7884858038,-242.038903213,-2.4711140862,1.5912890184,261.749639285,-25.7569551247,-39.2053679083,13.4484127827,-0.0503261541,-0.2331266293,1.7860628823,0.0886789194,0.0,yes,no
OAMe--OA-G3,174.353020233,95.0897212836,90.8304323227,-5.94,-13.2266961426,-7.28669614262,7.28669614262,-11.5671333733,-5.6271333733,5.6271333733,-22.2059105785,10.6387772048,-23.9938348965,-293.099826565,269.105991668,1.7884858041,271.879848843,-2.7738571826,1.3231215963,-268.960693115,-25.4622550464,-44.6599946448,19.1977395983,-0.1058448447,-0.5116328689,1.8586919302,0.0819073792,0.0,yes,no
OAMe--OA-G4,145.886503785,95.0897212836,49.009038324,-2.38,0.128181408083,2.50818140808,2.50818140808,1.7877441774,4.1677441774,4.1677441774,-11.1399282083,12.9276723853,-12.9269015724,244.901322022,-257.828223594,1.7884858035,-254.984381068,-2.8438425324,1.5698033033,268.480474857,-25.1489561373,-56.6723107309,31.5233545935,0.5506989056,-1.1939431587,2.1059854418,0.1070621143,0.0,yes,no
OAMe--OA-G5,159.172422552,95.0897212836,75.1082048,-3.90,-12.6850663009,-8.78506630092,8.78506630092,-11.0255035316,-7.1255035316,7.1255035316,-22.6555494158,11.6300458838,-24.4483441512,-295.282265446,270.833921294,1.7884858038,273.621262925,-2.7873416359,1.7016132222,-271.798579976,-25.1852986914,-45.0235232537,19.8382245616,-0.2564331863,-1.158252489,3.0388954592,0.0774034378,0.0,yes,no
OAMe--OA-G6,106.814812598,95.0897212836,6.6896128278,-4.52,3.37591571728,7.89591571728,7.89591571728,5.0354784866,9.5554784866,9.5554784866,-2.6615573171,7.6970358023,-4.4490302316,245.352799438,-249.80182967,1.7884858039,-247.293164741,-2.5086649335,1.3145964748,268.153573897,-24.1153709357,-41.7226045455,17.6072336097,-0.1141924476,-0.8306649555,2.1893472392,0.0701066385,0.0,yes,no
