run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,ligand,CBC-G1,-8.3210053151,-34.0918814461,25.770876131,129.997077402,-183.755258639,19.673343841,-185.949532605,2.1942739659,1.004633785,126.810934402,2.1815092144,-5.7301378138,7.9116470282,0.3027840302,0.6925530424,0.009273536,2.31765e-05,0.0,6.25,6.39,yes,no
feprocess,ligand,CBC-G2,-23.3736018421,-44.7417885178,21.3681866757,141.144713411,-201.979255095,16.0963722336,-203.798087578,1.8188324828,1.4435687737,139.837861552,-0.1367169152,-2.9466802419,2.8099633267,0.1873411378,0.777646377,0.478581259,0.0,0.0,8.8,9.05,yes,no
feprocess,ligand,CBC-G3,19.0219194722,-38.5435750865,57.5654945587,470.938076297,-547.038147492,37.5582018783,-550.336034819,3.2978873267,2.3697735983,470.228333226,-1.6600305274,-8.6168288169,6.9567982895,0.2914955783,1.4398479741,0.6384300459,0.0,0.0,182.39,182.75,yes,no
feprocess,ligand,CBC-G4,35.7511123849,6.6398335254,29.1112788596,24.4625466357,-41.0728842641,23.2503154485,-43.7297616477,2.6568773836,3.2100290727,12.6853897341,8.5671278289,-11.8952004444,20.4623282734,0.5053275816,2.7046598843,1.95e-05,2.21068e-05,0.0,3.17,3.3,yes,no
feprocess,ligand,CBC-G5,97.1758952073,49.208504718,47.9673904893,47.9908365636,-32.7624889548,33.9812302709,-36.0840240372,3.3215350824,4.9247961776,30.4076805531,12.6583598329,-21.0669988623,33.7253586952,1.1988774418,2.2180512384,1.5063968116,0.0014706859,0.0,21.38,21.54,yes,no
feprocess,ligand,CBC-G6,136.423387409,70.0605479595,66.3628394491,163.4658786,-141.693772961,48.2891167007,-145.743304978,4.0495320173,7.6828794449,143.55816223,12.2248369254,-36.161774087,48.3866110123,1.812404869,2.6786326127,3.1856663475,0.0061756158,0.0,72.96,73.36,yes,no
feprocess,ligand,CBC-G7,-14.7949123808,-47.7193619105,32.9244495297,63.0501790504,-146.531933883,35.7697160746,-150.245823367,3.7138894839,17.8463811334,31.9683653575,13.2354325595,-34.5238854622,47.7593180218,1.7612198685,6.3280273246,9.7495615328,0.0075724074,0.0,48.28,48.54,yes,no
feprocess,ligand,CBC-G8,178.879102208,97.0148949353,81.8642072723,68.4520205692,-25.0916123132,53.6545741119,-29.8116292099,4.7200168967,23.4323469968,32.9894262795,12.0302472929,-39.150214042,51.1804613349,1.6901211063,11.3532131596,10.3748847914,0.0141279395,0.0,127.33,127.78,yes,no
feprocess,ligand,CBC-G9,92.8998487907,53.0474214248,39.8524273659,59.6141036228,-36.9697200942,30.4042586634,-40.1227271918,3.1530070976,17.8617883445,29.8456382928,11.9066769855,-18.9025045704,30.8091815559,1.2936620803,15.8385301576,0.7290865206,0.000509586,0.0,12.32,12.52,yes,no
feprocess,ligand,CBC-G10,105.943585709,64.9596164616,40.9839692478,64.13728212,-31.3679577362,32.1927444671,-34.6513340613,3.2833763251,23.179805328,29.8648014341,11.0926753579,-20.4679895029,31.5606648608,1.1764816129,20.5713765035,1.4308301078,0.0011171038,0.0,18.93,19.03,yes,no
