Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
OA--OA-G0,-4.44018261,14.8974323098,-19.4216594018,-5.68,-6.10947738657,-0.429477386569,0.429477386569,0.084044482,5.764044482,5.764044482,-9.7032101549,9.7872546367,-11.4916042878,244.157588788,-255.649193076,1.7884858044,-253.240483488,-2.4087095877,0.6014936011,266.690432201,-23.1343370112,-37.1897030496,14.0553660384,-0.142744267,0.4120055718,0.2924983,0.0397339963,0.0,yes,no
OA--OA-G1,-15.2670043289,14.8974323098,-29.8582488982,-4.65,-6.49970960907,-1.84970960907,1.84970960907,-0.3061877405,4.3438122595,4.3438122595,-9.4659375631,9.1597498223,-11.2519209436,236.043063082,-247.294984026,1.788485804,-245.00839875,-2.2865852759,0.6603251654,256.178255499,-20.7955175866,-31.7096251117,10.9141075253,-0.0635960887,-0.1157304333,0.8087661485,0.0308855384,0.0,yes,no
OA--OA-G2,31.9504128207,14.8974323098,24.2472610999,-8.38,-13.3878024576,-5.00780245757,5.00780245757,-7.194280589,1.185719411,1.185719411,-17.3172102663,10.1229296774,-19.1018720481,221.708284977,-240.810157025,1.7884858041,-238.07493346,-2.7352235609,1.4237281018,249.031921785,-28.7473649127,-45.8580067201,17.1106418077,-0.0835683144,0.0969676819,1.3100395843,0.1002891497,0.0,yes,no
OA--OA-G3,-14.5649566978,14.8974323098,-31.9901278317,-5.18,-3.66578304447,1.51421695553,1.51421695553,2.5277388241,7.7077388241,7.7077388241,-6.8832164937,9.4109553184,-8.6678028592,247.284082215,-255.951885074,1.788485804,-253.649401924,-2.3024831484,1.2511186705,267.296037611,-21.2630740708,-32.2023535214,10.9392794513,-0.0100580219,0.0666224269,1.1654456824,0.0291085834,0.0,yes,no
OA--OA-G4,4.8176205976,14.8974323098,-3.6570957027,-7.11,-12.6162378781,-5.50623787807,5.50623787807,-6.4227160095,0.6872839905,0.6872839905,-17.2241609388,10.8014449285,-19.017077722,204.420746362,-223.437824084,1.7884858046,-220.711237146,-2.726586929,1.1913080569,228.495006418,-25.2655681112,-39.2246359135,13.9590678018,-0.1272260499,-0.3728059899,1.6500704153,0.0412696807,0.0,yes,no
OA--OA-G5,9.4995265404,14.8974323098,-8.5317292134,-4.59,-3.05969842457,1.53030157543,1.53030157543,3.133823444,7.723823444,7.723823444,-6.7076061028,9.8414295462,-8.4943001616,249.764276605,-258.258576766,1.788485804,-255.916944176,-2.341632588,0.4273975608,270.186730137,-20.849851101,-33.0169966202,12.1671455196,-0.0586221699,-0.2143596027,0.6816246839,0.0187546498,0.0,yes,no
OA--OA-G6,-21.6680363531,14.8974323098,-36.1549308145,-4.97,-6.60405971697,-1.63405971697,1.63405971697,-0.4105378484,4.5594621516,4.5594621516,-9.2190829265,8.808545078,-11.0025166634,237.33018086,-248.332697524,1.7884858043,-246.04982641,-2.2828711123,0.4463153768,256.216400208,-19.3325347265,-30.2742561739,10.9417214472,-0.1144366446,-0.0268712929,0.5571337054,0.0304896092,0.0,yes,no
OA--OA-G7,31.5499935275,14.8974323098,15.1631286285,-6.22,-4.70408927937,1.51591072063,1.51591072063,1.4894325892,7.7094325892,7.7094325892,-7.3103702362,8.7998028257,-9.0956083262,244.973860993,-254.06946932,1.7884858044,-251.60696867,-2.462500655,0.9560774149,268.073349489,-24.0555659089,-36.42213262,12.3665667116,0.0152136533,-0.1769082044,1.0705728494,0.0471991162,0.0,yes,no
TEMOA--OA-G0,77.3761489962,95.0897212836,-19.4216594018,-6.06,-4.48543475417,1.57456524583,1.57456524583,1.7080871144,7.7680871144,7.7680871144,-6.5519160479,8.2600031617,-8.3420750178,241.062377618,-249.404452636,1.7884858034,-246.923583738,-2.4808689002,1.2582530561,262.506990447,-22.7028658808,-38.7048174786,16.0019515974,-0.0275648143,0.1422668299,1.1118580946,0.0316929462,0.0,yes,no
TEMOA--OA-G1,66.5622651279,95.0897212836,-29.8582488982,-5.97,-4.86272912607,1.10727087393,1.10727087393,1.3307927425,7.3007927425,7.3007927425,-7.2935665051,8.6243592473,-9.0806948136,232.186549652,-241.267244466,1.788485804,-238.86877446,-2.398470005,0.4002998534,253.214816544,-21.4285667438,-32.4485427787,11.0199760353,-0.060460349,0.2475605701,0.2009227333,0.0122768987,0.0,yes,no
