run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,complex,OA--OA-G0,-4.44018261,-253.002879685,248.562697075,1132.64420598,-1566.28415248,180.637066177,-1576.35828121,10.0741287291,149.602449806,982.440217552,0.6015386251,-241.777903136,242.379441761,5.8829645632,38.7155949457,104.522362694,0.4815276032,0.0,627.42,627.75,yes,no
feprocess,complex,OA--OA-G1,-15.2670043289,-255.86360717,240.596602841,1123.82460989,-1557.64170564,177.954337471,-1567.81955875,10.1778531083,132.404873843,987.923557443,3.4961786,-233.839322047,237.335500647,5.9499924176,34.1939276527,91.7889680538,0.4719857185,0.0,644.68,645.05,yes,no
feprocess,complex,OA--OA-G2,31.9504128207,-224.811880141,256.762292962,1136.84610826,-1546.76458512,185.108280686,-1556.89288861,10.1283034925,145.716736035,992.295581965,-1.1662097421,-255.590321563,254.424111821,6.4540000607,35.0423034374,103.6774721,0.5429604368,0.0,691.94,692.87,yes,no
feprocess,complex,OA--OA-G3,-14.5649566978,-254.332826895,239.767870198,1133.46069606,-1565.74555208,177.954337471,-1575.89429517,10.1487430906,138.782272745,991.886592472,2.7918308384,-234.70599352,237.497824359,6.029362754,34.2144395678,98.0675333159,0.4709371078,0.0,914.03,915.41,yes,no
feprocess,complex,OA--OA-G4,4.8176205976,-256.170572688,260.988193285,1084.46480605,-1529.32566531,188.685252294,-1539.70138624,10.3757209382,152.708664985,931.636088996,0.1200520706,-250.20115901,250.32121108,6.0971175316,34.9970265192,111.130373656,0.4841472776,0.0,586.84,587.23,yes,no
feprocess,complex,OA--OA-G5,9.4995265404,-231.50677523,241.00630177,1159.70506097,-1569.16422223,177.954337471,-1579.22532202,10.0610997909,136.960792769,1019.33456336,3.4097048328,-236.839075491,240.248780324,6.1556708041,34.2070068178,96.1364433766,0.4616717709,0.0,617.34,618.4,yes,no
feprocess,complex,OA--OA-G6,-21.6680363531,-266.824726459,245.156690106,1112.23751499,-1558.79923278,179.742823275,-1568.9916349,10.1924021198,136.937814306,969.953943205,5.3457574773,-234.555038062,239.900795539,5.972478005,34.4198864599,96.0732806447,0.4721691968,0.0,620.28,621.15,yes,no
feprocess,complex,OA--OA-G7,31.5499935275,-213.71259463,245.262588158,1169.57554185,-1563.92312751,180.637066177,-1573.95325995,10.0301324335,137.372825767,1030.38462397,1.8180921147,-244.237646883,246.055738998,6.8757423465,35.0947512794,94.9083508821,0.4939812588,0.0,601.72,602.09,yes,no
feprocess,complex,TEMOA--OA-G0,77.3761489962,-188.920958095,266.297107091,1176.57148914,-1556.86051508,191.367980999,-1566.91998869,10.0594736128,152.057745114,1025.29379192,-0.7800478899,-262.239503632,261.459455742,6.6859757759,40.0278082223,104.911048744,0.4329123722,0.0,701.3,703.02,yes,no
feprocess,complex,TEMOA--OA-G1,66.5622651279,-192.760608629,259.322873757,1166.99059079,-1548.43506912,188.685252294,-1558.55854169,10.1234725754,133.943384384,1031.99713461,1.0500717974,-253.524725781,254.574797579,6.6409599173,36.1391706746,90.750450894,0.4128028979,0.0,701.52,701.85,yes,no
feprocess,complex,TEMOA--OA-G2,115.175201653,-159.816222224,274.991423878,1189.8982212,-1545.55372977,195.839195508,-1555.74893197,10.195202202,147.513462552,1041.22415492,1.160603731,-272.983320997,274.143924728,7.3174414241,36.3279395903,103.419844705,0.4482368326,0.0,637.79,638.16,yes,no
feprocess,complex,TEMOA--OA-G3,68.2610953429,-189.950366883,258.211462226,1175.15059162,-1553.78687709,188.685252294,-1563.89653451,10.1096574208,140.666473821,1033.36476349,1.1193543115,-254.617401872,255.736756184,6.6871349499,35.7094437813,97.8454548194,0.4244402702,0.0,638.19,638.6,yes,no
feprocess,complex,TEMOA--OA-G4,85.3405028868,-194.841674953,280.18217784,1135.73418195,-1529.98773495,199.416167116,-1540.25627903,10.268544086,154.384909177,983.240791363,-1.8915185914,-272.536281389,270.644762797,6.901168461,36.0587279368,110.987789405,0.4372233736,0.0,619.68,620.54,yes,no
feprocess,complex,TEMOA--OA-G5,94.0457254901,-165.747936617,259.793662108,1208.84954749,-1563.28241665,188.685252294,-1573.37448578,10.0920691345,138.701824892,1069.87181533,0.2759072644,-260.274998953,260.550906217,6.9632302884,35.7373802826,95.5735851517,0.4276291691,0.0,666.59,667.76,yes,no
feprocess,complex,TEMOA--OA-G6,61.0623883512,-203.588392586,264.650780937,1160.25617943,-1554.33255048,190.473738097,-1564.41231436,10.0797638882,138.618541498,1018.24448734,3.3931505901,-256.274182325,259.667332915,6.7568933047,35.8293241006,95.604270512,0.4280535804,0.0,627.34,628.25,yes,no
feprocess,complex,TEMOA--OA-G7,116.186073032,-148.834199701,265.020272734,1225.77803054,-1565.98014012,191.367980999,-1576.11574312,10.1356030041,138.811046776,1086.71389649,0.2530872687,-270.201732901,270.454820169,7.8237414945,36.4333183093,94.1071318137,0.4468551587,0.0,599.85,600.19,yes,no
