Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
CB8--CB8-G0,77.6344646756,-50.9371674478,143.1577117,-6.69,-7.16517388303,-0.475173883027,0.475173883027,-14.5860795766,-7.8960795766,7.8960795766,-31.8376494813,17.2515699054,-33.6270732374,-104.075348705,70.4482754676,1.7884858039,74.5691736906,-4.1208982241,4.9014258032,-66.9968943647,-41.9798801427,-74.9962681105,33.0163879689,0.3342011073,0.9089784254,3.1504828236,0.0291166507,0.4786467963,yes,no
CB8--CB8-G1,32.8136712139,-50.9371674478,98.283701082,-7.65,-7.11195672673,0.538043273273,0.538043273273,-14.5328624203,-6.8828624203,6.8828624203,-31.6893437467,17.1564813267,-33.4781089663,-98.3287247297,64.8506157634,1.7884858033,68.9138723799,-4.0632566171,3.1456426585,-60.571616803,-40.9027505862,-68.1924929962,27.2897424109,0.177687335,1.0764920118,1.5640899959,0.1768973417,0.1504759759,yes,no
CB8--CB8-G2,97.9207367849,-50.9371674478,163.877167333,-7.66,-7.59835740673,0.0616425932727,0.0616425932727,-15.0192631003,-7.3592631003,7.3592631003,-27.0977331529,12.078470053,-28.8911917492,-86.336773008,57.4455812588,1.7884858031,61.0220233386,-3.5764420805,2.5932654451,-53.2170189662,-35.7130194862,-56.1204220451,20.4074025602,-0.0032017662,0.8152285814,1.7983292351,-0.0770164018,0.0599257976,yes,no
CB8--CB8-G3,81.5502477678,-50.9371674478,146.49529185,-6.45,-6.58697094083,-0.136970940827,0.136970940827,-14.0078766344,-7.5578766344,7.5578766344,-29.4691295989,15.4612529646,-31.2584704451,-96.0371835575,64.7787131124,1.7884858033,68.3913001155,-3.6125870038,3.5773280441,-60.1810682052,-39.4334433957,-64.4050996847,24.9716562892,0.037188699,0.2955773782,3.1659231144,-0.337227869,0.4158667224,yes,no
CB8--CB8-G4,207.714625995,-50.9371674478,274.159052507,-7.80,-8.08635337063,-0.286353370627,0.286353370627,-15.5072590642,-7.7072590642,7.7072590642,-39.315149839,23.807890775,-41.088985589,-187.34177541,146.252789821,1.7884858037,151.147362182,-4.8945723626,8.2770615525,-135.631080562,-59.9877564005,-116.478393712,56.4906373129,-0.232215309,4.0611112672,4.1792212253,-0.0747810077,0.343725377,yes,no
CB8--CB8-G5,18.4335682148,-50.9371674478,88.7346039372,-8.18,-11.942962581,-3.76296258103,3.76296258103,-19.3638682746,-11.1838682746,11.1838682746,-28.4432357237,9.0793674484,-30.2324655859,-93.1850012368,62.9525356509,1.7884858039,65.9264686351,-2.973932985,1.4342699516,-64.9866590553,-29.6326121334,-45.5547071951,15.922095062,0.148360042,0.5738919242,1.0889650508,-0.3343298169,-0.0426172481,yes,no
CB8--CB8-G6,-26.2592238587,-50.9371674478,36.1848133616,-8.34,-4.08596407893,4.25403592107,4.25403592107,-11.5068697725,-3.1668697725,3.1668697725,-23.143494363,11.6366245915,-24.9323852696,-87.5500166671,62.6176313975,1.788485804,65.1275020467,-2.5098706494,0.9178415326,-64.6177924412,-23.8500657595,-41.0820400788,17.2319743205,0.0268608748,0.5754658783,0.6002493179,-0.3635142366,0.0787796993,yes,no
CB8--CB8-G7,-13.6292268569,-50.9371674478,51.8104372592,-10.0,-7.08159097473,2.91840902527,2.91840902527,-14.5024966683,-4.5024966683,4.5024966683,-25.673531658,11.1710349898,-27.4622293634,-89.8294918999,62.3672625365,1.7884858034,65.1393739178,-2.7721113827,0.9302424076,-64.3004249117,-26.459309396,-42.7908030439,16.3314936492,0.1011787831,0.6681015019,0.541658861,-0.3736939972,-0.0070027406,yes,no
CB8--CB8-G8,17.3190795921,-50.9371674478,89.1470443885,-13.50,-13.469891655,0.0301083449727,0.0301083449727,-20.8907973486,-7.3907973486,7.3907973486,-36.9257396845,16.034942336,-38.7166727606,-98.7537708411,60.0370980805,1.788485803,63.3475059849,-3.3104079046,2.1848487849,-62.6554744859,-38.2831451401,-73.2818866446,34.9987415056,-0.080162505,1.5426080372,0.4946378474,-0.1764978543,0.4042632606,yes,no
CB8--CB8-G9,-15.3354862532,-50.9371674478,51.8967822327,-8.68,-8.87419534453,-0.194195344527,0.194195344527,-16.2951010381,-7.6151010381,7.6151010381,-26.9212602131,10.6261591753,-28.7103958501,-91.3623694451,62.651973595,1.7884858032,65.3827461796,-2.7307725857,0.7078034084,-65.6913774374,-26.3787954168,-43.949329114,17.570533699,0.0573634516,0.3535836064,0.6911631169,-0.3568242258,-0.0374825394,yes,no
CB8--CB8-G10,-76.9244081627,-50.9371674478,-7.8497519835,-7.77,-10.7165830378,-2.94658303783,2.94658303783,-18.1374887314,-10.3674887314,10.3674887314,-27.9016831981,9.7641944665,-29.6895185441,-96.9222274491,67.232708905,1.7884858038,70.1847569786,-2.9520480736,1.5410371704,-66.8463030907,-31.6169615286,-48.3487685103,16.7318069825,0.107443591,0.4314872023,1.2628435847,-0.3553423047,0.094605098,yes,no
