run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,complex,CB8--CB8-G0,77.6344646756,-188.926683438,266.561148114,-239.681931878,-117.362563993,168.117665551,-124.41405497,7.0514909765,242.000483203,-394.517101975,-87.1653131051,-265.420138633,178.254825528,2.2122324553,146.824431082,83.9403723357,8.1232739453,0.900173384,672.67,673.62,yes,no
feprocess,complex,CB8--CB8-G1,32.8136712139,-254.031164536,286.84483575,-322.744082228,-108.347190664,177.060094569,-115.66185229,7.3146616259,231.530991428,-470.115057137,-84.16001652,-269.32830968,185.16829316,1.5183160194,140.803538353,80.3684964661,8.2686380268,0.5720025636,630.26,631.13,yes,no
feprocess,complex,CB8--CB8-G2,97.9207367849,-178.539687046,276.460423831,-224.295406403,-123.256189108,169.011908452,-130.339963142,7.083774034,245.971462668,-397.832880962,-72.4339881083,-253.558889749,181.124901641,2.2655071515,139.99287662,95.205294287,8.0263322243,0.4814523853,614.85,615.12,yes,no
feprocess,complex,CB8--CB8-G3,81.5502477678,-193.715580788,275.265828556,-246.475153598,-118.040696928,170.800394256,-125.408602394,7.3679054659,245.603374552,-416.939431565,-75.1390965843,-264.140155591,189.001059006,2.4924741021,141.878702981,92.6410207757,7.7537833832,0.8373933101,535.42,536.32,yes,no
feprocess,complex,CB8--CB8-G4,207.714625995,-150.750646779,358.465272774,-131.54868763,-232.016952327,212.829810644,-240.148396789,8.1314444614,242.748295367,-265.149279516,-109.147703481,-342.571064104,233.423360623,2.199377467,146.378267846,85.3889862035,8.0164118853,0.7652519647,739.76,740.82,yes,no
feprocess,complex,CB8--CB8-G5,18.4335682148,-231.767633117,250.201201331,-261.650498332,-124.821150593,154.704022023,-131.531091414,6.7099408207,266.396508743,-455.902262476,-72.1447445993,-229.242716406,157.097971806,1.6049308524,160.475964527,96.1819172655,7.7547867581,0.3789093396,686.21,686.47,yes,no
feprocess,complex,CB8--CB8-G6,-26.2592238587,-264.63063271,238.371408852,-284.835509784,-128.239444575,148.44432171,-135.162803769,6.9233591945,232.71194841,-446.567273265,-70.9801849301,-214.805239128,143.825054198,0.6013054484,139.333132345,84.5516019915,7.7256023384,0.500306287,439.31,439.51,yes,no
feprocess,complex,CB8--CB8-G7,-13.6292268569,-257.434938754,243.805711897,-281.597779677,-126.964250029,151.127050415,-133.750141004,6.7858909742,237.211032924,-445.773156535,-73.0356560662,-220.027875254,146.992219188,0.868844485,141.49575699,86.7164850239,7.7154225778,0.4145238471,477.39,477.64,yes,no
feprocess,complex,CB8--CB8-G8,17.3190795921,-253.881296393,271.200375985,-291.135425116,-124.604060573,161.857965237,-131.356623838,6.7525632654,237.558863919,-444.008353053,-84.6859359821,-259.978195497,175.292259515,1.1167414582,140.446552982,87.25716091,7.9126187207,0.8257898483,495.65,496.32,yes,no
feprocess,complex,CB8--CB8-G9,-15.3354862532,-259.693059693,244.35757344,-283.068694629,-126.857172577,150.232807513,-133.625506281,6.7683337035,261.079863161,-475.633984924,-68.5145728668,-221.360296013,152.845723147,1.5942798503,157.748050992,93.6211959217,7.7322923492,0.3840440483,433.59,433.79,yes,no
feprocess,complex,CB8--CB8-G10,-76.9244081627,-325.078209641,248.153801478,-353.918206545,-124.968694845,153.809779121,-131.659533172,6.6908383275,239.687175289,-520.234597825,-73.3707840088,-232.050383269,158.67959926,1.1376401003,138.59153866,91.7080905728,7.7337742703,0.5161316857,657.96,659.68,yes,no
