run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,ligand,CB8-G0,143.1577117,89.6943623643,53.4633493356,102.87911136,-52.5308207776,39.3466876821,-56.3183184866,3.787497709,16.6413429498,82.4398227297,3.7979456806,-25.5938028845,29.3917485651,1.5782414006,10.3994080256,4.658652804,0.0050407196,0.0,86.02,86.17,yes,no
feprocess,ligand,CB8-G1,98.283701082,24.4415755317,73.8421255503,14.0703370347,-37.9177877444,48.2891167007,-41.9108144959,3.9930267514,7.9276343195,0.416590006,5.7261127092,-36.3057490458,42.0318617551,1.040838737,4.2110017102,2.6731697621,0.0026241101,0.0,138.75,138.97,yes,no
feprocess,ligand,CB8-G2,163.877167333,95.3414424279,68.535724905,100.527061138,-45.4217516838,40.2409305839,-48.6970763066,3.2753246229,22.9204827729,65.3441683442,12.2624100209,-32.6084000659,44.8708100868,1.9689189703,3.6616034076,17.2757283438,0.0142320511,0.0,22.01,22.12,yes,no
feprocess,ligand,CB8-G3,146.49529185,82.5369451319,63.9583467184,88.0477244925,-47.5393913574,42.0294163877,-51.1349923355,3.5956009781,21.5683320579,53.2016669802,13.2777254544,-34.9049882683,48.1827137228,2.1554954557,6.0670809718,13.3438609532,0.0018946772,0.0,43.75,43.88,yes,no
feprocess,ligand,CB8-G4,274.159052507,135.347899381,138.811153126,294.278782313,-242.989723465,84.0588327753,-248.630848797,5.6411253324,14.0135193645,280.441831386,-0.1765684375,-61.2626027536,61.0860343161,2.1318028286,6.8011119478,5.0785282701,0.002076318,0.0,289.05,289.55,yes,no
feprocess,ligand,CB8-G5,88.7346039372,43.4589989277,45.2756050096,70.0201974378,-52.4936675609,25.9330441541,-54.7926498751,2.2989823141,44.5045243414,19.0444269193,6.4712461771,-18.8579415729,25.32918775,1.156780863,24.3860279718,18.9617155066,0.0,0.0,8.27,8.35,yes,no
feprocess,ligand,CB8-G6,36.1848133616,5.296257974,30.8885553875,41.2002014161,-55.5770572895,19.673343841,-57.6253956417,2.0483383523,11.3363924274,28.0105495162,1.8532594724,-8.8931314112,10.7463908835,0.2746546262,3.2416218357,7.8201159655,0.0,0.0,12.21,12.49,yes,no
feprocess,ligand,CB8-G7,51.8104372592,15.021989225,36.7884480342,46.7174067559,-54.0514938825,22.3560725466,-56.2246047478,2.1731108653,15.8230760664,28.4872987167,2.4070319728,-12.4070045721,14.8140365448,0.4678757545,5.3116108571,10.0435894548,0.0,0.0,13.97,14.14,yes,no
feprocess,ligand,CB8-G8,89.1470443885,29.8278396125,59.319204776,46.1040402581,-49.3611399705,33.086987369,-52.0392196489,2.6780796784,14.9163006841,28.6071517729,2.580587801,-21.8662412144,24.4468290154,0.8971140158,3.3879003138,10.6312863545,0.0,0.0,30.14,30.39,yes,no
feprocess,ligand,CB8-G9,51.8967822327,14.0115968411,37.8851853917,46.7793693491,-54.229127489,21.4618296448,-56.3433422866,2.1142147976,39.9143453026,0.0174228534,6.847601193,-12.580899261,19.428500454,1.2371264513,21.8784227546,16.7987960967,0.0,0.0,6.92,7.0,yes,no
feprocess,ligand,CB8-G10,-7.8497519835,-50.3931301219,42.5433781385,-18.5102845629,-56.921385067,25.0388012522,-59.1793799766,2.2579949095,17.6884236686,-43.4282643943,7.2295561628,-18.8715471207,26.1011032835,0.7304065619,2.6440068267,14.31401028,0.0,0.0,11.11,11.4,yes,no
