Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
cb7--guest1,-0.5724995963,-50.7007299883,52.335990985,-5.3,-0.668287546007,4.63171245399,4.63171245399,-2.207760593,3.092239407,3.092239407,-18.5837062583,16.3759456652,-20.375671628,-135.674518856,115.298847228,1.7884858041,118.319215437,-3.0203682095,8.0392837252,-111.356890177,-32.356912405,-65.2362672372,32.8793548324,0.2259865675,0.7361787452,2.8095066284,-0.3257009927,4.5933127767,yes,no
cb7--guest2,-44.8387906621,-50.7007299883,12.4488413384,-6.1,-5.04742896521,1.05257103479,1.05257103479,-6.5869020122,-0.4869020122,0.4869020122,-24.9912734092,18.4043713967,-26.7806706798,-89.961330593,63.1806599132,1.7884858045,66.0171156787,-2.8364557653,7.933290913,-67.3255669149,-30.5690545906,-87.1225479749,56.5534933847,0.6955229027,3.7855428071,1.6707105778,0.2034062741,1.5781083513,yes,no
cb7--guest3,27.9991290536,-50.7007299883,85.56884849,-6.2,-5.32951640111,0.870483598893,0.870483598893,-6.8689894481,-0.6689894481,0.6689894481,-23.3232147481,16.4542252991,-25.11323717,-128.458820425,103.345583255,1.7884858039,106.502135625,-3.1565523704,6.9849737007,-103.323581618,-32.1202125063,-65.0519400773,32.931727572,0.1465077143,0.8352350667,2.1399297759,-0.2249492617,4.0882504052,yes,no
cb7--guest4,-47.7630789735,-50.7007299883,11.3412109167,-6.4,-6.86408685491,-0.464086854907,0.464086854907,-8.4035599019,-2.0035599019,2.0035599019,-21.9605984187,13.557038517,-23.7502257482,-95.7441325707,71.9939068225,1.7884858038,74.6575445452,-2.6636377229,1.9385457686,-72.9156417817,-24.7670365576,-46.0108625895,21.2438260328,0.0912638242,0.5580330708,1.2279507668,-0.1432717739,0.2045698809,yes,no
cb7--guest5,81.3891773568,-50.7007299883,141.995378131,-6.6,-8.36599773891,-1.76599773891,1.76599773891,-9.9054707859,-3.3054707859,3.3054707859,-24.9762822599,15.0708114741,-26.774209316,-131.53117755,104.756968234,1.7884858045,107.676671013,-2.9197027794,3.3354784793,-105.063967292,-29.8026887369,-62.0618617413,32.2591730048,0.3727593595,1.3637915824,1.0505741188,0.3532522525,0.1951011664,yes,no
cb7--guest6,-105.158485669,-50.7007299883,-50.4330948425,-6.8,-2.48518779121,4.31481220879,4.31481220879,-4.0246608382,2.7753391618,2.7753391618,-17.3282924737,13.3036316352,-19.117146722,-166.162485521,147.045338799,1.7884858042,149.334975929,-2.28963713,1.7950490799,-150.977943662,-16.9795909389,-39.1206234487,22.1410325106,0.0082846965,0.9375104488,1.1894448189,-0.7403300943,0.4001392097,yes,no
cb7--guest7,-116.168034886,-50.7007299883,-69.6157495223,-6.8,5.68791767159,12.4879176716,12.4879176716,4.1484446246,10.9484446246,10.9484446246,-8.8659223542,13.0143669784,-10.661761644,-165.844186919,155.182425275,1.7884858042,157.580736329,-2.3983110546,2.514709115,-148.420044031,-19.9388520011,-40.1021552734,20.1633032734,0.0422440709,1.3264461778,1.9061057,-0.9422475204,0.1821606866,yes,no
cb7--guest8,72.2682131133,-50.7007299883,134.508382565,-7.4,-9.99996641641,-2.59996641641,2.59996641641,-11.5394394634,-4.1394394634,4.1394394634,-28.641932422,17.1024929579,-30.432432084,-134.936633053,104.504200969,1.7884858045,108.050187496,-3.5459865266,7.406236646,-102.839406201,-39.5034634976,-76.4021534389,36.8986899415,0.0441673358,0.6951331188,2.6207836174,-0.2183664141,4.2645189877,yes,no
cb7--guest9,-82.1735728261,-50.7007299883,-31.1710246634,-7.7,1.23765487259,8.93765487259,8.93765487259,-0.3018181744,7.3981818256,7.3981818256,-11.2782608462,10.9764426706,-13.072258156,-158.994537979,145.922279823,1.7884858042,148.271902322,-2.3496224998,3.4441517182,-140.876563766,-21.5621259307,-39.8824595677,18.3203336375,0.2480358837,1.3951987137,2.5975815237,-1.0142326955,0.2175682929,yes,no
cb7--guest10,-52.7073753287,-50.7007299883,8.7531730338,-7.7,-9.22034532721,-1.52034532721,1.52034532721,-10.7598183742,-3.0598183742,3.0598183742,-25.2623290774,14.5025107036,-27.0529197766,-100.880292612,73.8273728358,1.788485804,76.6311261914,-2.8037533555,2.7015650384,-77.5782640657,-26.003593585,-51.0224012396,25.0188076555,0.1227994121,0.5900559989,1.8560142163,-0.0768376005,0.2095330118,yes,no
cb7--guest11,-119.054205098,-50.7007299883,-67.3238682464,-8.7,0.509866183693,9.20986618369,9.20986618369,-1.0296068633,7.6703931367,7.6703931367,-12.6817751854,11.6521683218,-14.470976383,-167.409292939,152.938316556,1.7884858042,155.334443704,-2.3961271487,2.6457200028,-149.611555414,-20.4434575278,-40.1529744144,19.7095168872,0.0729494446,0.9728374191,2.4353055868,-0.957308993,0.1219365461,yes,no
cb7--guest12,-65.6286623865,-50.7007299883,-5.0260510774,-9.6,-8.36240827381,1.23759172619,1.23759172619,-9.9018813208,-0.3018813208,0.3018813208,-19.9526918973,10.0508105766,-21.7415486117,-92.9196808179,71.1781322062,1.7884858042,73.6732527494,-2.4951205431,0.5548669802,-72.5692606433,-20.9052871542,-35.5382750225,14.6329878687,0.0182620121,0.3619998173,0.5659482905,-0.3687009538,-0.022642186,yes,no
cb7--guest13,-29.9725094181,-50.7007299883,28.3200263632,-9.8,-6.05233274601,3.74766725399,3.74766725399,-7.591805793,2.208194207,2.208194207,-19.1784608141,11.586655021,-20.96815575,-149.730606736,128.762450986,1.7884858045,131.867699713,-3.1052487275,2.6131795862,-123.789945274,-28.5538410472,-48.6090870589,20.0552460128,-0.0435193215,-4.22376000131e-05,2.896171622,-0.4810659361,0.2416354599,yes,no
cb7--guest14,-83.212485898,-50.7007299883,-27.2795352221,-10.2,-3.69274764061,6.50725235939,6.50725235939,-5.2322206876,4.9677793124,4.9677793124,-16.3037431835,11.0715224956,-18.093787347,-169.77745394,151.683666593,1.788485804,154.181147517,-2.497480924,2.9826947024,-145.89724806,-26.862900582,-45.8618341515,18.9989335699,0.1865531751,1.3617906923,2.3016435068,-1.0063906985,0.1390980262,yes,no
cb7--guest15,1.790436792,-50.7007299883,50.0252213039,-10.5,4.00541852339,14.5054185234,14.5054185234,2.4659454764,12.9659454764,12.9659454764,-11.7851753002,14.2511207763,-13.577446055,-134.039632596,120.462186541,1.7884858043,123.692349033,-3.230162493,16.5889864569,-119.011358256,-31.6172607957,-74.9824092007,43.3651484063,0.2493045429,2.6974841068,4.5169326144,-0.0858466675,9.2111118605,yes,no
cb7--guest16,-50.2072303097,-50.7007299883,8.5830082018,-11.0,-6.55003547621,4.44996452379,4.44996452379,-8.0895085232,2.9104914768,2.9104914768,-21.4884431902,13.3989346664,-23.278251571,-164.650071413,141.371819842,1.7884858042,144.023723739,-2.6519038969,1.4539379759,-146.828094029,-19.2759153603,-37.6526462145,18.3767308555,0.0224597015,0.5144205382,1.274928117,-0.5485093814,0.1906390007,yes,no
cb7--guest17,-106.259909756,-50.7007299883,-34.8741711079,-11.5,-19.1455356128,-7.64553561281,7.64553561281,-20.6850086598,-9.1850086598,9.1850086598,-34.5928940029,13.9078853427,-36.3819182294,-177.604437187,141.222518958,1.7884858041,144.018583467,-2.796064509,3.6129209377,-139.52125315,-41.696104974,-76.7776170859,35.0815121119,0.0584669386,1.7604138979,2.3177768018,-1.0956027537,0.5718660529,yes,no
cb7--guest18,-8.0683272999,-50.7007299883,65.1980762936,-11.8,-21.0262005582,-9.22620055821,9.22620055821,-22.5656736052,-10.7656736052,10.7656736052,-36.2173922816,13.6517186759,-38.0062480738,-42.3722547248,4.366006651,1.7884858036,7.154282085,-2.7882754344,0.4287808215,-2.2960857306,-40.5049498151,-67.4462410482,26.9412912345,-0.0244316675,0.252142844,0.0484014968,0.12879378,0.0238743683,yes,no
cb7--guest19,-69.1285050423,-50.7007299883,-8.2383354346,-12.8,-8.64996657241,4.15003342759,4.15003342759,-10.1894396194,2.6105603806,2.6105603806,-22.6365987774,12.447159157,-24.42540809,-169.97813316,145.55272507,1.788485804,148.254094893,-2.7013698241,2.1915547819,-150.136513609,-22.0331743325,-41.6432634129,19.6100890805,0.1409771665,1.2451080429,1.5693905272,-0.8302018582,0.0662809038,yes,no
cb7--guest20,17.8034628136,-50.7007299883,88.0647967921,-13.4,-18.0211309432,-4.62113094321,4.62113094321,-19.5606039902,-6.1606039902,6.1606039902,-32.6632502914,13.1026463013,-34.4519895925,-43.2122476414,8.7602580489,1.7884858038,11.604748451,-2.8444904025,0.6196382656,-5.4801440491,-38.3517418572,-60.3510499287,21.9993080718,0.0312035784,0.0787008801,0.3163529822,0.1529767487,0.0404040757,yes,no
