run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,ligand,guest1,52.335990985,19.7666948433,32.5692961418,142.846996904,-149.904478925,26.8272870559,-152.720982493,2.8165035686,24.6402502998,117.41232651,0.7944200948,-13.2974052598,14.0918253546,1.1847744426,23.4554613178,3.2937e-06,1.12458e-05,0.0,10.78,10.86,yes,no
feprocess,ligand,guest2,12.4488413384,-41.5776642358,54.0265055743,-20.144496986,-50.9427039992,29.5100157615,-53.3892058147,2.4465018155,17.579141782,-45.5488193241,7.8251805562,-23.1462472151,30.9714277713,0.8281466747,3.1302083599,13.6207867473,0.0,0.0,9.52,9.63,yes,no
feprocess,ligand,guest3,85.56884849,43.9132775291,41.6555709609,151.960514789,-140.238346871,32.1927444671,-143.469654402,3.2313075311,24.8601623893,126.95621551,0.1441368893,-16.9543786457,17.098515535,1.2438201978,23.5935233023,0.0226174857,0.0002014037,0.0,24.27,24.48,yes,no
feprocess,ligand,guest4,11.3412109167,-8.2481517793,19.589362696,37.6586375217,-64.6850514285,18.7791009392,-66.9040971512,2.2190457227,0.8347417044,33.8942902787,2.9296055386,-7.5648317395,10.4944372782,0.3006125657,0.5006738792,0.0332715591,0.0001837004,0.0,14.5,14.64,yes,no
feprocess,ligand,guest5,141.995378131,61.6277047539,80.3676733769,167.452908669,-148.739791327,42.9236592895,-151.546109007,2.8063176806,21.1307226497,136.293811613,10.0283744066,-38.9969273727,49.0253017792,3.2365643924,6.6721006786,11.2220575788,0.0,0.0,16.2,38.66,yes,no
feprocess,ligand,guest6,-50.4330948425,-67.3634647143,16.9303698718,139.037785106,-220.70913718,14.3078864298,-222.556122951,1.8469857714,21.4008590691,114.512897561,3.1240284761,-4.1878184033,7.3118468794,0.443134928,1.5011668282,19.4565497715,7.5413e-06,0.0,3.38,3.42,yes,no
feprocess,ligand,guest7,-69.6157495223,-85.8446497938,16.2289002716,105.799691039,-205.945243151,14.3078864298,-207.844636165,1.8993930138,21.241860353,81.6796480104,2.878182675,-3.7619063956,6.6400890706,0.3714315769,1.3251824092,19.5451297468,0.0001166201,0.0,3.08,3.12,yes,no
feprocess,ligand,guest8,134.508382565,73.785427116,60.7229554491,156.759560475,-125.896142552,42.9236592895,-129.687930687,3.7917881346,25.066864921,131.967721156,-0.2750256016,-27.3751446491,27.1001190475,1.8956490811,23.0949478532,0.074491159,0.0017768277,0.0,37.33,37.57,yes,no
feprocess,ligand,guest9,-31.1710246634,-47.2414884418,16.0704637784,142.585688447,-204.129826991,14.3078864298,-205.98819058,1.8583635894,1.9278768828,137.863878334,2.7939332302,-4.0526136583,6.8465468885,0.3400320788,1.5823304373,0.0055058425,8.5241e-06,0.0,2.7,2.76,yes,no
feprocess,ligand,guest10,8.7531730338,-11.3830911646,20.1362641984,34.0537744244,-65.1084731518,19.673343841,-67.4461233434,2.3376501916,5.2549708736,26.7432784557,2.0555250951,-9.6550540024,11.7105790975,0.4740704008,1.3391229071,3.4233929156,0.01838465,0.0,11.36,11.68,yes,no
feprocess,ligand,guest11,-67.3238682464,-84.5247096896,17.2008414432,103.56300135,-202.395251449,14.3078864298,-204.279720689,1.8844692402,21.2521501532,79.4293008224,2.8815503743,-3.7372168856,6.6187672598,0.388191305,1.3174973299,19.5463213765,0.0001401418,0.0,3.25,3.37,yes,no
feprocess,ligand,guest12,-5.0260510774,-22.0116815347,16.9856304574,22.0477290539,-58.3672954822,14.3078864298,-60.3462125064,1.9789170241,10.6448408238,8.2212693583,3.1816188719,-4.3687393335,7.5503582053,0.2295056573,0.6186789067,9.7965410244,0.0001152355,0.0,3.28,3.32,yes,no
feprocess,ligand,guest13,28.3200263632,0.6990840891,27.620942274,129.159656468,-151.71004807,23.2503154485,-154.489900394,2.7798523242,5.0157342428,116.980093646,7.1638285791,-11.2712840491,18.4351126282,0.5995671044,2.3058369496,2.1049385084,0.0053916804,0.0,7.24,7.51,yes,no
feprocess,ligand,guest14,-27.2795352221,-58.7531882285,31.4736530064,116.587248638,-195.012591676,19.673343841,-197.011269772,1.9986780963,4.4830780846,110.884778057,1.2193924966,-6.8555053995,8.0748978961,0.2955186869,1.3792576057,2.808301792,0.0,0.0,8.81,9.18,yes,no
feprocess,ligand,guest15,50.0252213039,11.4440456612,38.5811756427,127.492652846,-144.660964468,28.6157728597,-147.601433009,2.9404685412,3.7513618741,115.633016553,8.1082744194,-16.6633828083,24.7716572277,0.7272479887,3.0099057852,0.0083253258,0.0058827744,0.0,17.44,17.57,yes,no
feprocess,ligand,guest16,8.5830082018,-21.6556251018,30.2386333036,137.165958054,-180.282684496,21.4618296448,-182.478410494,2.1957259984,2.5399224691,134.443315976,0.182719609,-5.6687452995,5.8514649085,0.2326777478,0.8974530148,1.4097917065,0.0,0.0,28.01,28.11,yes,no
feprocess,ligand,guest17,-34.8741711079,-83.7971602691,48.9229891613,72.9649419294,-183.589220206,26.8272870559,-185.855643649,2.2664234428,15.8867395023,50.0124586471,7.0657437799,-18.8659118561,25.9316556361,0.8893437043,3.7447185201,11.2526772779,0.0,0.0,9.26,9.36,yes,no
feprocess,ligand,guest18,65.1980762936,27.5779085786,37.6201677151,10.5844706508,-7.151119809,24.1445583504,-9.47441933,2.323299521,15.5434710565,-12.4349758774,7.4759754717,-21.0402856468,28.5162611185,1.2759247649,2.531545554,11.7359992794,1.4582e-06,0.0,12.32,12.59,yes,no
feprocess,ligand,guest19,-8.2383354346,-34.0660452336,25.827709799,129.904830024,-183.644261059,19.673343841,-185.84503883,2.2007777713,1.0046522621,126.718527686,2.1816500755,-5.7299857991,7.9116358745,0.3027597312,0.6925897771,0.0092615703,4.11834e-05,0.0,5.79,5.93,yes,no
feprocess,ligand,guest20,88.0647967921,51.7310587584,36.3337380337,32.4148227374,-5.7225569739,25.0388012522,-8.05621751,2.3336605361,20.4335693804,4.3385532361,7.642700121,-18.7164627453,26.3591628662,1.1617332653,2.1793402189,17.0924958962,0.0,0.0,26.23,26.44,yes,no
feprocess,ligand,guest21,37.8837992976,0.3214366674,37.5623626302,-20.1912088927,-1.8434215831,22.3560725466,-3.9999874381,2.1565658551,16.6595227506,-44.2221661108,7.3714344675,-17.2577200753,24.6291545429,0.6850630623,1.6196043059,14.3548553824,0.0,0.0,10.53,10.66,yes,no
