Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
a-cyclodex--benzene,544.78217149,525.820673677,21.8794786675,-2.05,0.460665885392,2.51066588539,2.51066588539,-2.9179808545,-0.8679808545,0.8679808545,-11.0905048295,8.172523974,-12.879054775,-13.7429631246,0.8639083496,1.7884858044,2.8524111553,-1.9885028057,1.9510494143,2.1422533181,-17.8362658568,-26.6053202399,8.7690543828,-0.1511316434,-0.6590626896,2.7608488846,0.0003948635,0.0,yes,no
a-cyclodex--flurbiprofen-ion,552.130675326,525.820673677,31.3178784763,-2.36,-1.62923008741,0.730769912592,0.730769912592,-5.0078768273,-2.6478768273,2.6478768273,-24.4969025528,19.4890257256,-26.2853509415,-49.1818418742,22.8964909327,1.7884858038,25.9912205793,-3.0947296466,5.6380026896,-23.7502283993,-31.0696161641,-61.6244381714,30.554822007,0.6612549274,1.0858286409,3.8613586981,0.0295604239,0.0,yes,no
a-cyclodex--nabumetone,555.984893396,525.820673677,39.457505192,-2.13,-5.91463873311,-3.78463873311,3.78463873311,-9.293285473,-7.163285473,7.163285473,-24.3558741793,15.0625887063,-26.1444338566,-29.5584637717,3.4140299151,1.7884858042,6.434472239,-3.0204423238,1.9510439362,1.2283846297,-32.7378923383,-53.023456809,20.2855644705,-0.2510144087,-0.4974959852,2.6916676869,0.0078866447,0.0,yes,no
a-cyclodex--naproxen-ion,539.045304208,525.820673677,19.7615262642,0.0,-3.15824899331,-3.15824899331,3.15824899331,-6.5368957332,-6.5368957332,6.5368957332,-19.1750183268,12.6381225935,-20.9655998481,-37.2325053993,16.2669055512,1.7884858038,18.9263639301,-2.6594583789,1.3546635667,-9.7546708473,-28.8324981191,-45.0891418177,16.2566436979,-0.2135059806,-0.0089532682,1.5672765642,0.0098462523,0.0,yes,no
a-cyclodex--resorcinol,513.415358998,525.820673677,-7.5986641713,-1.65,-1.42800376781,0.221996232192,0.221996232192,-4.8066505077,-3.1566505077,3.1566505077,-13.6721653201,8.8655148124,-15.4605132411,-18.3476693893,2.8871561482,1.7884858036,4.97384247,-2.0866863218,1.9732688306,2.1029257661,-22.4238639856,-32.8648967604,10.4410327744,-0.2736221651,-0.9064383294,3.1525500324,0.0007792935,0.0,yes,no
b-cyclodex--benzene,628.701997047,610.90508958,21.8794786675,-3.04,-0.703924460608,2.33607553939,2.33607553939,-4.0825712005,-1.0425712005,1.0425712005,-11.5550498625,7.472478662,-13.3435980087,-14.2230441766,0.8794461679,1.7884858044,3.0184472052,-2.1390010372,-0.4769160817,-0.2589875789,-13.4871405157,-21.1194754749,7.6323349598,-0.2410381512,0.1165279045,-0.3525401704,0.0001343353,0.0,yes,no
b-cyclodex--flurbiprofen-ion,633.781541025,610.90508958,31.3178784763,-4.97,-5.06278029141,-0.0927802914083,0.0927802914083,-8.4414270313,-3.4714270313,3.4714270313,-23.3785020038,14.9370749726,-25.1669389273,-43.8150729782,18.6481340509,1.7884858038,22.0495506095,-3.4014165585,1.9999512396,-20.2696563293,-25.5453678883,-47.9826332484,22.43726536,0.0142622198,1.0979978011,0.8783194211,0.0093717981,0.0,yes,no
b-cyclodex--nabumetone,640.218830578,610.90508958,39.457505192,-4.59,-6.76511745411,-2.17511745411,2.17511745411,-10.143764194,-5.553764194,5.553764194,-26.6806641013,16.5368999073,-28.4692065436,-34.2491253227,5.7799187791,1.7884858042,9.2931842852,-3.513265506,1.0853507932,-5.7872657853,-29.5472103302,-51.862342429,22.3151320985,-0.2893878518,0.3827022149,0.9793123819,0.0127240478,0.0,yes,no
b-cyclodex--naproxen-ion,622.910840222,610.90508958,19.7615262642,-4.32,-4.37712888231,-0.0571288823083,0.0571288823083,-7.7557756222,-3.4357756222,3.4357756222,-23.7634013998,16.0076257775,-25.5539598232,-42.7033134483,17.1493536251,1.7884858038,20.3532094751,-3.2038558499,2.2698801847,-19.6894815583,-25.2837120747,-47.5994192227,22.3157071479,0.0746447655,0.4615359044,1.7294728802,0.0042266344,0.0,yes,no
b-cyclodex--resorcinol,598.823513912,610.90508958,-7.5986641713,-2.77,-1.10426475681,1.66573524319,1.66573524319,-4.4829114967,-1.7129114967,1.7129114967,-14.3430620511,9.8601505544,-16.1316278264,-22.8597589823,6.7281311559,1.7884858046,9.0418788004,-2.3137476444,0.5794004636,-5.8301622319,-17.6089972134,-30.2655196864,12.6565224734,-0.1972624261,0.2355432435,0.5400674614,0.0010521846,0.0,yes,no
g-cyclodex--benzene,720.621451431,702.101084903,21.8794786675,-1.31,0.0195346003916,1.32953460039,1.32953460039,-3.3591121395,-2.0491121395,2.0491121395,-9.3592420045,6.000129866,-11.1477913765,-10.8618372896,-0.2859540869,1.7884858034,1.8762598041,-2.162213891,-0.4775584137,0.3395856531,-10.7238645292,-16.6102137599,5.8863492308,-0.2254676996,0.1697294956,-0.4219135764,9.33675e-05,0.0,yes,no
g-cyclodex--flurbiprofen-ion,722.826405435,702.101084903,31.3178784763,-4.75,-7.21391120441,-2.46391120441,2.46391120441,-10.5925579443,-5.8425579443,5.8425579443,-27.2218032998,16.6292453556,-29.0139101929,-55.7029217632,26.6890115703,1.7884858028,30.2427989886,-3.5537874183,-1.3633276654,-29.3726205563,-24.9669735415,-49.1722795314,24.20530599,0.2215230927,3.0334528666,-4.6578607759,0.0395571513,0.0,yes,no
g-cyclodex--nabumetone,730.576091106,702.101084903,39.457505192,0.0,-7.60385224911,-7.60385224911,7.60385224911,-10.982498989,-10.982498989,10.982498989,-28.8650305923,17.8825316023,-30.6536859008,-39.5092571287,8.8555712279,1.7884858032,12.8223797007,-3.9668084729,-1.4629877678,-4.4149862363,-33.6312831246,-59.765204214,26.1339210895,-0.2064122251,2.9437515921,-4.2128883161,0.0125611816,0.0,yes,no
