run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,complex,a-cyclodex--benzene,544.78217149,370.056289431,174.725882058,283.861469702,-35.4222158101,121.617034654,-41.4430538101,6.020838,146.773039661,157.135818169,-20.0473881279,-165.132936916,145.085548788,4.5393095849,9.772897225,132.460431249,0.0004016022,0.0,272.18,272.53,yes,no
feprocess,complex,a-cyclodex--flurbiprofen-ion,552.130675326,347.916400944,204.214274382,278.724003911,-68.5210065347,137.713406887,-74.8061699883,6.2851634536,159.164677391,148.839307549,-29.2799810287,-213.833623756,184.553642727,5.9446347704,14.615347837,138.568837829,0.0358569545,0.0,273.03,273.49,yes,no
feprocess,complex,a-cyclodex--nabumetone,555.984893396,350.00659578,205.978297616,248.749651613,-39.1391928628,140.396135593,-45.5400122139,6.4008193512,152.257056365,128.107549438,-31.6149541908,-204.496170912,172.881216721,4.782009425,11.2110033396,136.253836941,0.01020666,0.0,299.42,299.84,yes,no
feprocess,complex,a-cyclodex--naproxen-ion,539.045304208,340.556946662,198.488357546,281.632075775,-78.7885294169,137.713406887,-85.3947045554,6.6061751385,152.107302384,156.732436616,-27.2076632255,-197.008571101,169.800907875,4.9900465732,14.0633117,133.043239517,0.0107045939,0.0,274.02,274.47,yes,no
feprocess,complex,a-cyclodex--resorcinol,513.415358998,339.9926652,173.422693798,257.222929319,-40.6355726215,123.405520457,-46.6646120641,6.0290394426,146.824434688,135.190782479,-24.7922878477,-172.745712657,147.953424809,4.4297749513,9.5417412921,132.852132436,0.0007860086,0.0,285.32,285.48,yes,no
feprocess,complex,b-cyclodex--benzene,628.701997047,428.43522573,200.266771317,329.851929105,-41.8128389677,140.396135593,-48.6994601958,6.8866212281,165.836584362,183.540301516,-19.5249567727,-178.360044566,158.835087794,4.7219741669,8.90497861,152.209490511,0.000141074,0.0,290.13,290.47,yes,no
feprocess,complex,b-cyclodex--flurbiprofen-ion,633.781541025,407.878282825,225.9032582,330.561313262,-79.1755243924,156.492507826,-86.1702823937,6.9947580013,177.018136138,181.125603863,-27.5824267388,-218.904771248,191.322344509,5.5702131526,12.9840077881,158.448246869,0.0156683287,0.0,452.06,452.33,yes,no
feprocess,complex,b-cyclodex--nabumetone,640.218830578,406.52528719,233.693543388,290.529530517,-43.1794649747,159.175236532,-50.1037426033,6.9242776286,172.882873419,149.897623267,-32.2509661686,-222.048008947,189.797042778,5.0162070717,10.4476923306,157.403929953,0.0150440631,0.0,473.02,473.32,yes,no
feprocess,complex,b-cyclodex--naproxen-ion,622.910840222,394.812044921,228.098795301,322.631808181,-84.3122423189,156.492507826,-91.390301446,7.0780591271,174.514029199,175.603350149,-27.485571167,-218.231800921,190.746229754,5.5507684091,12.8902916635,156.06788415,0.005084976,0.0,459.43,459.69,yes,no
feprocess,complex,b-cyclodex--resorcinol,598.823513912,398.165249801,200.658264111,299.181380181,-43.2007585897,142.184621397,-50.0190181693,6.8182595796,166.922076518,156.063418725,-23.8041150614,-188.859287998,165.055172937,4.7787057801,9.0402136559,153.102098182,0.0010588997,0.0,431.51,432.08,yes,no
feprocess,complex,g-cyclodex--benzene,720.621451431,494.361265959,226.260185473,392.600661078,-57.4146272094,159.175236532,-65.405560045,7.9909328356,189.57773257,219.676509945,-16.6535814371,-197.116275408,180.462693971,5.6546671209,9.8612931992,174.061672144,0.0001001062,0.0,466.11,466.79,yes,no
feprocess,complex,g-cyclodex--flurbiprofen-ion,722.826405435,467.7652139,255.061191535,378.060989563,-85.5710348599,175.271608765,-93.5409464627,7.9699116028,197.396647773,207.560274833,-26.8959330429,-243.359910088,216.463977045,6.6945965279,15.8225758517,174.833621711,0.0458536819,0.0,658.6,659.61,yes,no
feprocess,complex,g-cyclodex--nabumetone,730.576091106,468.07115307,262.504938035,344.656923797,-54.5402005128,177.954337471,-62.1384596359,7.598259123,194.076325398,186.807538013,-36.2269396139,-253.216363289,216.989423675,6.0163052008,13.9118547059,174.133284294,0.0148811969,0.0,638.77,639.15,yes,no
feprocess,complex,g-cyclodex--naproxen-ion,711.622214786,453.894913236,257.727301549,367.505863202,-88.8822453837,175.271608765,-96.7014194596,7.8191740759,195.111822915,201.472511494,-29.0784712074,-248.373004379,219.294533172,6.6734311087,16.3687704814,172.035974157,0.0336471682,0.0,656.85,657.7,yes,no
feprocess,complex,g-cyclodex--resorcinol,689.062573144,460.634157191,228.428415952,357.630712005,-57.9602774723,160.963722336,-65.6255374079,7.6652599357,186.902286765,193.970112818,-23.2416875782,-212.310536656,189.068849078,5.7752542393,12.5738676238,168.552315418,0.000849484,0.0,533.91,534.64,yes,no
