Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
a-cyclodex--guest-1,539.688856464,525.820673677,14.6465512333,-1.575,0.75478408025,2.32978408025,2.32978408025,-0.7783684463,0.7966315537,0.7966315537,-12.81424343,12.0358749837,-14.6025318351,-45.8478400951,31.24530826,1.788485804,33.4024579349,-2.157149675,1.5618711584,-31.745758983,-15.6639522709,-27.8959764231,12.2320241526,-0.3857969695,-1.0585040002,3.0061721286,0.0,0.0,yes,no
a-cyclodex--guest-2,558.324953732,525.820673677,36.6518967564,-3.533,-2.61446417485,0.91853582515,0.91853582515,-4.1476167014,-0.6146167014,0.6146167014,-19.0056274206,14.8580107192,-20.7926947176,-48.8356042583,28.0429095407,1.7884858038,30.5684194656,-2.5255099249,1.7848427508,-29.8129762902,-20.8074707192,-36.3302178134,15.5227470944,-0.4097593563,-1.1429122442,3.3375143525,0.0,0.0,yes,no
a-cyclodex--guest-3,575.473817779,525.820673677,56.422208939,-4.606,-5.23591231045,-0.62991231045,0.62991231045,-6.769064837,-2.163064837,2.163064837,-22.0740681538,15.3050033168,-23.8626966141,-50.6555964475,26.7928998334,1.7884858036,29.6538510694,-2.860951236,2.3173500864,-28.1888254618,-24.7841210715,-40.6989940128,15.9148729417,-0.5395944688,-1.5683848696,4.4253294257,0.0,0.0,yes,no
a-cyclodex--guest-4,550.220430434,525.820673677,29.6126497441,-2.130,-3.67974046055,-1.54974046055,1.54974046055,-5.2128929871,-3.0828929871,3.0828929871,-14.4127048124,9.1998118262,-16.2012004148,-16.2696634179,0.0684630031,1.7884858039,2.0975017001,-2.029038697,2.2817300195,0.9039094685,-19.4553029065,-27.4339976191,7.9786947123,-0.3335895367,-2.0626119976,4.6779315546,0.0,0.0,yes,no
a-cyclodex--guest-5,567.44995387,525.820673677,45.5211052185,-2.510,-2.35867249895,0.15132750105,0.15132750105,-3.8918250255,-1.3818250255,1.3818250255,-14.518826763,10.6270017375,-16.3073824899,-16.3011046788,-0.0062778111,1.7884858037,2.2694590601,-2.2757368712,3.717652444,2.2378492593,-22.2566063825,-30.5844931314,8.3278867493,-0.3843605835,-1.2046802494,5.3066932778,0.0,0.0,yes,no
a-cyclodex--guest-6,476.992153893,525.820673677,-44.8281114588,-1.506,-2.46725579865,-0.96125579865,0.96125579865,-4.0004083252,-2.4944083252,2.4944083252,-16.1370613676,12.1366530424,-17.9272185218,-43.7835484503,25.8563299285,1.7884858045,27.8978308883,-2.0415009598,3.0316715154,-30.8695593904,-15.9456605763,-31.3735922157,15.4279316395,0.2432077304,-0.3318637116,3.1014613294,0.0188661688,0.0,yes,no
a-cyclodex--guest-7,491.762041115,525.820673677,-26.684630471,-3.380,-5.84084956445,-2.46084956445,2.46084956445,-7.374002091,-3.994002091,3.994002091,-21.1255476438,13.7515455519,-22.9171284345,-40.2489527372,17.3318243027,1.7884858043,19.741430589,-2.4096062863,2.0667881221,-21.5603251745,-20.7554156849,-36.7756657492,16.0202500644,0.0117688875,-0.8623844442,2.9154809915,0.001922688,0.0,yes,no
a-cyclodex--guest-8,509.878822533,525.820673677,-8.8372618705,-4.622,-5.57143674695,-0.94943674695,0.94943674695,-7.1045892735,-2.4825892735,2.4825892735,-22.1769310129,15.0723417393,-23.9653690216,-40.9521136439,16.9867446223,1.7884858041,19.718262255,-2.7315176325,3.0651994876,-21.0317930119,-22.9855201197,-40.9519405804,17.9664204609,0.0985538167,-1.0066217557,3.9672845587,0.0059828685,0.0,yes,no
a-cyclodex--guest-s9,578.326901062,525.820673677,52.7797286681,-1.685,1.25965124345,2.94465124345,2.94465124345,-0.2735012831,1.4114987169,1.4114987169,-13.1042534476,12.8307521644,-14.8929720578,-45.4861471929,30.5931751351,1.7884858044,32.917598048,-2.3244229128,2.5038130263,-27.985455436,-20.0045047836,-33.5870110875,13.5825063033,-0.372515092,-1.1092038641,3.9855319828,0.0,0.0,yes,no
a-cyclodex--guest-s10,526.929314694,525.820673677,2.1707443436,-1.764,0.47104919995,2.23504919995,2.23504919995,-1.0621033266,0.7018966734,0.7018966734,-13.581566329,12.5194630014,-15.3709086082,-46.7035358352,31.332627227,1.7884858044,33.681280794,-2.348653567,2.8667109991,-31.4779064192,-18.0923404153,-31.0581954232,12.965855008,-0.4404432495,-1.2515872257,4.5587414755,0.0,0.0,yes,no
a-cyclodex--guest-s11,549.635500929,525.820673677,25.9921847638,-2.720,-0.64420498525,2.07579501475,2.07579501475,-2.1773575118,0.5426424882,0.5426424882,-14.9696588108,12.792301299,-16.7586681024,-45.8874852024,29.1288171,1.7884858044,31.5136240271,-2.3848069272,2.1547525714,-27.4517413106,-20.5904964624,-34.1963843287,13.6058878665,-0.4128593778,-1.1893058973,3.7569178474,0.0,0.0,yes,no
a-cyclodex--guest-s12,595.285424399,525.820673677,73.8534438791,-3.516,-2.85554063055,0.66045936945,0.66045936945,-4.3886931571,-0.8726931571,0.8726931571,-18.8863476994,14.4976545423,-20.6751298322,-47.3440772041,26.6689473719,1.7884858042,29.3274569968,-2.6585096249,2.1282422818,-25.2781522998,-24.194167186,-39.095582572,14.9014153849,-0.4581854312,-1.407220897,3.9936486112,0.0,0.0,yes,no
a-cyclodex--guest-s13,543.351583706,525.820673677,22.6550579418,-3.604,-3.59099538625,0.01300461375,0.01300461375,-5.1241479128,-1.5201479128,1.5201479128,-19.5540822545,14.4299343417,-21.342658483,-51.4023227425,30.0596642595,1.7884858042,32.7804978771,-2.7208336177,2.8431394332,-30.7459945929,-23.4994675829,-38.8217344667,15.3222668829,-0.542830858,-1.5420873603,4.9280576525,0.0,0.0,yes,no
a-cyclodex--guest-s14,566.480936912,525.820673677,46.7160880971,-4.137,-4.52267233555,-0.38567233555,0.38567233555,-6.0558248621,-1.9188248621,1.9188248621,-20.5937330523,14.5379081902,-22.3823949405,-50.5941646655,28.211769725,1.7884858042,30.9413647595,-2.7295950344,2.318341692,-29.0065215346,-23.9059848234,-38.7482832369,14.8422984141,-0.5748565564,-1.686116354,4.5793146029,0.0,0.0,yes,no
a-cyclodex--guest-s15,551.534212145,525.820673677,32.4693655873,-4.166,-5.22267459275,-1.05667459275,1.05667459275,-6.7558271193,-2.5898271193,2.5898271193,-22.088030395,15.3322032756,-23.8776503509,-52.7923379866,28.9146876357,1.7884858036,31.7972827886,-2.882595153,2.4024968353,-29.9985691754,-25.196265647,-41.6812798247,16.4850141781,-0.5848657634,-1.5685850724,4.5559476716,0.0,0.0,yes,no
a-cyclodex--guest-s16,538.873074818,525.820673677,15.8749068735,-2.022,-1.28935320595,0.73264679405,0.73264679405,-2.8225057325,-0.8005057325,0.8005057325,-11.8740324009,9.0515266684,-13.6626091333,-13.9893508407,0.3267417074,1.7884858045,2.2395106158,-1.9127689084,2.0685782379,-0.4136367022,-15.6442923755,-24.6102484394,8.9659560631,-0.1334039529,-0.5812471714,2.7832293626,0.0,0.0,yes,no
a-cyclodex--guest-s17,582.549390742,525.820673677,60.3143794393,-3.227,-2.05250984775,1.17449015225,1.17449015225,-3.5856623743,-0.3586623743,0.3586623743,-14.3247064973,10.739044122,-16.1132613379,-15.9627591934,-0.1505021445,1.7884858041,2.1927008512,-2.3432029957,3.4446249739,3.4660924194,-22.8734765858,-31.6676768917,8.7942003059,-0.3794939492,-1.2972314466,5.1213503702,0.0,0.0,yes,no
a-cyclodex--guest-s18,484.378159191,525.820673677,-35.9931341038,-2.596,-3.91622785565,-1.32022785565,1.32022785565,-5.4493803822,-2.8533803822,2.8533803822,-18.3980272118,12.9486468296,-20.1863503241,-43.7419500846,23.5555997605,1.7884858039,25.8355614345,-2.279961674,2.7943671498,-27.8097917653,-18.726525468,-35.5201186277,16.7935931596,0.2313569928,-0.1987389557,2.7461599172,0.0155891966,0.0,yes,no
a-cyclodex--guest-s19,490.458520919,525.820673677,-29.8695955061,-3.344,-3.95940472535,-0.61540472535,0.61540472535,-5.4925572519,-2.1485572519,2.1485572519,-17.5141202198,12.0215629679,-19.3026690952,-37.4091534594,18.1064843642,1.788485804,20.5056295187,-2.3991451544,3.3211849712,-20.6711661982,-20.0591722329,-35.3901063641,15.3309341317,0.1095929828,-0.4745023803,3.6611573185,0.0249370506,0.0,yes,no
a-cyclodex--guest-s20,493.153234282,525.820673677,-27.8243221521,-3.011,-3.30996471635,-0.29896471635,0.29896471635,-4.8431172429,-1.8321172429,1.8321172429,-18.2958076916,13.4526904488,-20.0845407216,-43.6169113263,23.5323706047,1.788485804,25.9410806127,-2.4087100079,3.799513286,-27.970371177,-19.4460534348,-36.5575285721,17.1114751369,0.1904563486,-0.3833720496,3.9741484877,0.0182804996,0.0,yes,no
a-cyclodex--guest-s21,500.911914768,525.820673677,-17.6618582089,-3.991,-5.71374817355,-1.72274817355,1.72274817355,-7.2469007001,-3.2559007001,3.2559007001,-21.6217515861,14.374850886,-23.4104942911,-40.523915863,17.1134215719,1.7884858037,19.7492403937,-2.6358188219,3.402785558,-20.9743612599,-22.9523401605,-40.9234972359,17.9711570758,0.0710976051,-0.8527389839,4.1750905359,0.0093364021,0.0,yes,no
a-cyclodex--guest-s22,496.35969309,525.820673677,-23.0459715466,-3.597,-4.88185651385,-1.28485651385,1.28485651385,-6.4150090404,-2.8180090404,2.8180090404,-20.5244567144,14.109447674,-22.3130917368,-37.8304696218,15.517377885,1.7884858044,18.076796674,-2.559418789,3.3497098755,-18.4226934945,-22.7574860028,-38.2218117281,15.4643257253,-0.0469982241,-1.3818721187,4.7744434674,0.0041367521,0.0,yes,no
