run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,complex,a-cyclodex--guest-1,539.688856464,352.532814764,187.1560417,291.969174179,-65.5242611059,126.088249163,-71.4527469443,5.9284858383,147.299097677,165.475044206,-20.8049677045,-166.797767619,145.992799915,4.2745731736,9.8311989411,133.193325562,0.0,0.0,271.24,271.79,yes,no
feprocess,complex,a-cyclodex--guest-2,558.324953732,359.53309781,198.791855922,291.533419121,-63.4525860553,131.453706574,-69.3947422269,5.9421561716,148.707298376,168.425727595,-25.5996068503,-177.962424914,152.362818064,4.308753443,9.9316147233,134.46693021,0.0,0.0,248.64,249.07,yes,no
feprocess,complex,a-cyclodex--guest-3,575.473817779,367.312788521,208.161029258,291.26055641,-60.7670218449,136.819163985,-66.7588899173,5.9918680724,150.396947652,170.117092772,-29.2534840135,-185.081612318,155.828128305,4.234993402,9.6792030181,136.482751232,0.0,0.0,236.2,236.39,yes,no
feprocess,complex,a-cyclodex--guest-4,550.220430434,368.541880519,181.678549916,281.910846671,-38.5629147079,125.194006261,-44.6053296233,6.0424149154,161.017605683,145.111841156,-24.2186001688,-166.947633064,142.729032895,4.2864756856,12.3604803124,144.370649685,0.0,0.0,301.02,301.44,yes,no
feprocess,complex,a-cyclodex--guest-5,567.44995387,374.055920931,193.394032939,281.511202081,-38.0147436399,130.559463672,-44.0788911107,6.0641474708,160.600211668,146.382427501,-25.4714370885,-175.979397627,150.507960539,4.4101989169,12.0464226313,144.14359012,0.0,0.0,281.76,282.22,yes,no
feprocess,complex,a-cyclodex--guest-6,476.992153893,301.74525135,175.246902543,256.503709312,-77.2701526745,122.511277556,-83.2697015242,5.9995488497,153.587578159,123.890988472,-20.9748573202,-170.582612984,149.607755664,4.8673465275,12.3706850927,136.330167902,0.0193786377,0.0,282.98,283.15,yes,no
feprocess,complex,a-cyclodex--guest-7,491.762041115,306.074558574,185.68748254,259.272021797,-81.0741820297,127.876734967,-87.112183559,6.0380015293,153.746335642,130.970854225,-25.4451680702,-178.667761343,153.222593273,4.6819914176,11.9824858998,137.079325634,0.0025326905,0.0,276.46,276.99,yes,no
feprocess,complex,a-cyclodex--guest-8,509.878822533,313.959612526,195.919210007,258.725932596,-78.0083801499,133.242192378,-84.1109688707,6.1025887209,155.852572665,130.232235949,-27.3588760183,-185.507899361,158.149023343,4.8165895533,11.979377579,139.049902264,0.0067032685,0.0,272.25,272.49,yes,no
feprocess,complex,a-cyclodex--guest-s9,578.326901062,386.157883045,192.169018017,317.12711473,-59.7401307949,128.770977869,-65.656969178,5.9168383832,148.377851374,194.080895527,-25.3316321715,-173.491746743,148.160114571,4.312157984,9.8162395136,134.249453876,0.0,0.0,257.84,258.06,yes,no
feprocess,complex,a-cyclodex--guest-s10,526.929314694,334.084869199,192.844445494,268.365972778,-63.0521499919,128.770977869,-68.9643200541,5.9121700622,149.768494762,141.370717405,-22.7732393892,-171.967187695,149.193948306,4.2742228474,10.238074175,135.25619774,0.0,0.0,244.05,244.24,yes,no
feprocess,complex,a-cyclodex--guest-s11,549.635500929,357.327523562,192.307977367,293.361399791,-64.8052900422,128.770977869,-70.6832671756,5.8779771333,148.496206359,170.413421536,-25.5482281033,-174.45905964,148.910831537,4.2771857051,9.798443324,134.42057733,0.0,0.0,281.66,282.16,yes,no
feprocess,complex,a-cyclodex--guest-s12,595.285424399,392.676725591,202.608698808,317.007990869,-58.4676719183,134.13643528,-64.4374892847,5.9698173664,149.218548138,196.981750692,-29.192307961,-181.784584142,152.59227618,4.2906131395,9.7132503359,135.214684663,0.0,0.0,242.36,242.83,yes,no
feprocess,complex,a-cyclodex--guest-s13,543.351583706,339.806118088,203.545465618,265.591776857,-59.9219429878,134.13643528,-65.8488458946,5.9269029068,150.944740474,142.498363492,-27.8513271091,-182.521906696,154.670579586,4.2337631405,10.1297623916,136.581214942,0.0,0.0,234.49,234.65,yes,no
feprocess,complex,a-cyclodex--guest-s14,566.480936912,363.5823794,202.898557512,290.628962696,-61.18308711,134.13643528,-67.1124549069,5.929367797,149.835358926,169.33014434,-28.5365405706,-181.76999776,153.23345719,4.1726369194,9.4829464734,136.179775533,0.0,0.0,262.02,262.22,yes,no
feprocess,complex,a-cyclodex--guest-s15,551.534212145,342.520049876,209.014162269,264.896982761,-59.1966988504,136.819163985,-65.1591497478,5.9624508974,151.068100027,143.222707634,-29.3938249005,-186.776960287,157.383135387,4.2218496881,10.1889044735,136.657345865,0.0,0.0,232.21,232.63,yes,no
feprocess,complex,a-cyclodex--guest-s16,538.873074818,362.608827863,176.264246955,278.653724278,-38.5561800947,122.511277556,-44.5708669297,6.014686835,153.303411439,145.34391831,-19.9936054703,-162.901478085,142.907872614,4.4916099324,10.7327245633,138.079076943,0.0,0.0,301.43,301.88,yes,no
feprocess,complex,a-cyclodex--guest-s17,582.549390742,383.163386379,199.386004362,288.103158473,-38.1819606333,133.242192378,-44.3010745869,6.1191139536,165.279027947,148.279409493,-25.4552789661,-180.366036212,154.910757246,4.608552605,14.1692045126,146.501270829,0.0,0.0,271.52,271.77,yes,no
feprocess,complex,a-cyclodex--guest-s18,484.378159191,303.968718705,180.409440486,255.796171175,-77.0212277319,125.194006261,-82.997345316,5.9761175841,153.92427585,125.451767107,-23.579871781,-176.100381361,152.52050958,4.8795830001,12.5795199954,136.449020832,0.0161520229,0.0,275.74,276.17,yes,no
feprocess,complex,a-cyclodex--guest-s19,490.458520919,310.253014256,180.205506663,264.74965237,-80.5848874088,126.088249163,-86.5820979905,5.9972105817,150.721657247,138.630777596,-24.6027824737,-176.248079026,151.645296553,4.7409576764,12.5668917349,133.388828776,0.0249790594,0.0,284.32,284.53,yes,no
feprocess,complex,a-cyclodex--guest-s20,493.153234282,312.897437285,180.255796997,263.106192961,-76.2971027029,126.088249163,-82.2964572973,5.9993545945,162.882893868,124.364139114,-24.1408400207,-177.400070706,153.259230685,4.8324211892,12.6952292547,145.336458177,0.0187852466,0.0,266.16,266.33,yes,no
feprocess,complex,a-cyclodex--guest-s21,500.911914768,310.093536093,190.818378675,258.991080492,-79.4570193417,130.559463672,-85.4632314914,6.0062121496,155.612639733,130.864592408,-27.4861516485,-184.111476589,156.625324941,4.7631786494,12.0509584686,138.788535104,0.0099675113,0.0,262.75,263.26,yes,no
feprocess,complex,a-cyclodex--guest-s22,496.35969309,310.67571611,185.68397698,262.516375727,-80.6116314272,128.770977869,-86.6170855433,6.0054541161,157.105262268,132.789324664,-27.3782112051,-180.763208315,153.38499711,4.6325312736,11.5728973448,140.894891912,0.004941738,0.0,295.6,296.16,yes,no
