Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
b-cyclodex--guest-1,644.704182553,610.90508958,36.7040851622,-2.486,-0.723331480676,1.76266851932,1.76266851932,-2.9049921892,-0.4189921892,0.4189921892,-16.9753070599,14.0703148707,-18.763770491,-50.785068435,32.021297944,1.7884858038,34.7443614519,-2.7230635079,-0.0342022604,-33.4474322704,-17.3034339041,-32.650717434,15.3472835297,-0.3412248412,0.3667711555,-0.0597485739,0.0,0.0,yes,no
b-cyclodex--guest-2,661.565810312,610.90508958,56.4198911719,-3.585,-3.57750973138,0.0074902686239,0.0074902686239,-5.7591704399,-2.1741704399,2.1741704399,-21.1650488167,15.4058783758,-22.952932467,-52.3496869094,29.3967544424,1.7884858046,32.4729504252,-3.0761959826,0.1597651656,-32.2760555918,-20.2333964833,-37.4639355861,17.230539103,-0.3592514236,0.4330796866,0.0859369032,0.0,0.0,yes,no
b-cyclodex--guest-3,633.466184504,610.90508958,29.6546219062,-3.050,-4.91186627368,-1.86186627368,1.86186627368,-7.0935269822,-4.0435269822,4.0435269822,-14.898928973,7.8054019918,-16.6875526589,-18.7864134836,2.0988608247,1.7884858039,4.3425463139,-2.2436854892,0.0270404981,-2.3137458401,-16.4997081419,-26.2077364846,9.708028342,-0.2698051811,0.0126177068,0.2842279723,0.0,0.0,yes,no
b-cyclodex--guest-4,635.744583703,610.90508958,33.3772099365,-4.541,-6.35605510498,-1.81505510498,1.81505510498,-8.5377158135,-3.9967158135,3.9967158135,-18.8210392892,10.2833234758,-20.6095889911,-21.8983235663,1.2887345752,1.7884858037,3.8856055077,-2.5968709324,0.4988278082,-1.8938292903,-20.5033220841,-33.0522039005,12.5488818163,-0.269119197,0.0513190689,0.7166279367,0.0,0.0,yes,no
b-cyclodex--guest-5,648.753860585,610.90508958,45.9048328278,-4.560,-5.87440111428,-1.31440111428,1.31440111428,-8.0560618228,-3.4960618228,3.4960618228,-18.9559214748,10.899859652,-20.7444432132,-23.110312924,2.3658697108,1.7884858037,4.9019162553,-2.5360465444,0.8570800079,-2.3926864358,-21.5747064961,-35.7286012362,14.1538947401,-0.2074806932,0.5028225634,0.5617381383,0.0,0.0,yes,no
b-cyclodex--guest-6,573.066180623,610.90508958,-35.9821129987,-1.267,0.324864750224,1.59186475022,1.59186475022,-1.8567959583,-0.5897959583,0.5897959583,-14.0174285295,12.1606325722,-15.8061024899,-36.9226726889,21.116570199,1.7884858039,23.5344061246,-2.4178359255,1.7935043501,-24.1173913684,-14.5987856706,-30.9019785929,16.3031929224,0.3176070779,1.0156509578,0.4410064283,0.0192398868,0.0,yes,no
b-cyclodex--guest-7,588.545635219,610.90508958,-17.6296499271,-3.394,-2.54814372538,0.845856274624,0.845856274624,-4.7298044339,-1.3358044339,1.3358044339,-17.9962103363,13.2664059024,-19.7850639045,-32.3282731278,12.5432092233,1.7884858037,15.3127485212,-2.7695392977,1.1255324089,-15.2123632743,-18.2414422616,-34.696941197,16.4554989356,0.1447977947,1.0471693706,-0.0718265351,0.0053917781,0.0,yes,no
b-cyclodex--guest-8,595.232245597,610.90508958,-14.9234716822,-1.640,1.43228840772,3.07228840772,3.07228840772,-0.7493723008,0.8906276992,0.8906276992,-11.5210987493,10.7717264484,-13.3096160939,-32.0041817832,18.6945656893,1.7884858046,21.0347096326,-2.3401439431,1.8848995133,-17.0600894548,-16.8289918416,-31.7746512193,14.9456593775,0.1445804461,1.1192940285,0.5983193569,0.0227056821,0.0,yes,no
b-cyclodex--guest-9,566.99247574,610.90508958,-41.0433921427,-1.697,-0.687560988776,1.00943901122,1.00943901122,-2.8692216973,-1.1722216973,1.1722216973,-14.2193543598,11.3501326625,-16.0112097099,-31.2176499985,15.2064402886,1.788485804,17.7579646769,-2.551524388,1.8660341791,-14.6121512452,-18.4715329322,-33.384506349,14.9129734166,0.0735857678,0.5468886193,1.2386245471,0.006935245,0.0,yes,no
b-cyclodex--guest-10,568.400861074,610.90508958,-38.9501841363,-2.192,-1.37238366118,0.819616338824,0.819616338824,-3.5540443697,-1.3620443697,1.3620443697,-16.5836996416,13.029655272,-18.3713599963,-35.0270296788,16.6556696825,1.7884858044,19.4020352552,-2.7463655726,1.5498122852,-18.6433683443,-17.9334736202,-35.4326902326,17.4992166129,0.1725106423,0.9303234885,0.4437852091,0.003192945,0.0,yes,no
b-cyclodex--guest-11,573.422421711,610.90508958,-33.3456613615,-2.512,-1.95534579898,0.556654201024,0.556654201024,-4.1370065075,-1.6250065075,1.6250065075,-18.6138995194,14.4768930119,-20.4022775222,-38.8918850642,18.489607542,1.7884858046,21.3910609247,-2.9014533824,2.3982240339,-19.318426939,-21.9716821588,-42.2044995321,20.232817374,0.1053735593,0.6040742471,1.6844807271,0.0042955002,0.0,yes,no
b-cyclodex--guest-12,588.552865017,610.90508958,-17.3246401491,-3.599,-2.84592370538,0.753076294624,0.753076294624,-5.0275844139,-1.4285844139,1.4285844139,-18.318720983,13.291136569,-20.1072186677,-29.2000485477,9.09282988,1.7884858038,11.952888815,-2.8600589347,1.6944219001,-9.4198158999,-21.4746545477,-37.4828422687,16.0081877208,-0.0350337678,0.2567334669,1.4678608949,0.0048613058,0.0,yes,no
b-cyclodex--guest-s13,628.776166028,610.90508958,22.6778036316,-2.557,-2.62506647508,-0.0680664750762,0.0680664750762,-4.8067271836,-2.2497271836,2.2497271836,-18.8542486125,14.0475214288,-20.6427841684,-52.9406524032,32.2978682348,1.7884858042,35.2072789421,-2.9094107072,0.1942569232,-34.5164050099,-18.6185043173,-35.4510470533,16.8325427359,-0.3300705446,0.6592716384,-0.1349441699,0.0,0.0,yes,no
b-cyclodex--guest-s14,622.821139564,610.90508958,15.879432587,-1.554,-1.78172189448,-0.227721894476,0.227721894476,-3.963382603,-2.409382603,2.409382603,-10.5320157644,6.5686331614,-12.3205911067,-14.7915584269,2.4709673202,1.7884858045,4.5549908688,-2.0840235485,-0.4109993919,-1.7015511567,-12.6790078777,-20.1587006553,7.4796927781,-0.2429441783,0.0981153135,-0.2661705271,0.0,0.0,yes,no
b-cyclodex--guest-s15,616.566561389,610.90508958,14.9134646559,-4.175,-7.07033213838,-2.89533213838,2.89533213838,-9.2519928469,-5.0769928469,5.0769928469,-18.9380375116,9.6860446647,-20.7265694515,-23.1198651814,2.3932957299,1.7884858037,5.0126047833,-2.6193090533,-0.1396638089,-1.6476618282,-21.3325395445,-33.411910194,12.0793706497,-0.3196904311,0.0582339428,0.1217926797,0.0,0.0,yes,no
b-cyclodex--guest-s16,635.713130474,610.90508958,33.3700593931,-4.319,-6.38035779058,-2.06135779058,2.06135779058,-8.5620184991,-4.2430184991,4.2430184991,-19.0537840972,10.4917655991,-20.8424378443,-22.9062466227,2.0638087784,1.7884858037,4.6448021555,-2.5809933771,0.2763085086,-2.4109276167,-20.7716275141,-34.3256948693,13.5540673547,-0.243527159,0.3099983266,0.2098373409,0.0,0.0,yes,no
b-cyclodex--guest-s17,662.32905723,610.90508958,60.2680470851,-4.971,-6.66241872658,-1.69141872658,1.69141872658,-8.8440794351,-3.8730794351,3.8730794351,-21.1159314757,12.2718520405,-22.9044890808,-24.72047772,1.8159886392,1.7884858041,4.4936725312,-2.6776838921,1.0206458971,-2.2634457543,-23.4776778637,-39.180555763,15.7028778992,-0.1866019938,0.1919345621,1.0153133297,0.0,0.0,yes,no
b-cyclodex--guest-s18,580.983299656,610.90508958,-26.6838396144,-2.280,-1.05628960108,1.22371039892,1.22371039892,-3.2379503096,-0.9579503096,0.9579503096,-15.1649080496,11.9269577389,-16.9548603179,-32.8472629657,15.8924026478,1.7884858043,18.4812316095,-2.5888289616,1.5826535224,-17.6731103417,-16.7568061471,-32.4316159883,15.6748098418,0.1589116303,0.9682140667,0.4459331403,0.0095946851,0.0,yes,no
b-cyclodex--guest-s19,567.911637901,610.90508958,-39.777878375,-1.458,-1.03391259548,0.424087404524,0.424087404524,-3.215573304,-1.757573304,1.757573304,-15.9891493338,12.7735760297,-17.777247436,-33.1254916631,15.3482442271,1.7884858044,18.1016712684,-2.7534270412,1.7336838654,-14.8711444266,-19.9880311023,-35.9299238216,15.9418927187,0.0431981002,0.8508750218,0.8360970837,0.0035136601,0.0,yes,no
b-cyclodex--guest-s20,572.177342417,610.90508958,-35.1323446757,-2.156,-1.41374177878,0.742258221224,0.742258221224,-3.5954024873,-1.4394024873,1.4394024873,-18.7609502174,15.1655477302,-20.5502304247,-33.0439516427,12.493721218,1.7884858046,15.3201933182,-2.8264721002,1.4109822829,-13.1307705955,-21.3241633307,-39.7305294821,18.4063661519,0.0666063419,0.2933103168,1.0462775748,0.0047880496,0.0,yes,no
b-cyclodex--guest-s21,582.476107841,610.90508958,-21.8555304576,-3.518,-4.39179057288,-0.873790572876,0.873790572876,-6.5734512814,-3.0554512814,3.0554512814,-20.8668296751,14.2933783937,-22.655349177,-39.250780169,16.595430992,1.7884858038,19.4618444206,-2.8664134285,1.1924416593,-20.0054672079,-20.43775462,-40.674504801,20.2367501807,0.1589874596,0.1858530996,0.8440873609,0.0035137388,0.0,yes,no
