run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,complex,b-cyclodex--guest-1,644.704182553,420.447321909,224.256860644,336.088433199,-65.873782017,150.232807513,-72.6347323371,6.7609503201,168.412883483,193.596762721,-25.9212130048,-193.029977314,167.108764309,4.6517697242,9.8148645864,153.946249173,0.0,0.0,373.06,373.39,yes,no
feprocess,complex,b-cyclodex--guest-2,661.565810312,427.064222702,234.501587609,336.039588363,-64.5729107491,155.598264925,-71.3681782247,6.7952674756,169.72735908,194.844432484,-28.5322032011,-200.550900202,172.018697001,4.6875036528,10.0344619117,155.005393516,0.0,0.0,403.24,404.01,yes,no
feprocess,complex,b-cyclodex--guest-3,633.466184504,426.948562536,206.517621969,325.88624718,-42.9108535804,143.9731072,-49.7628600503,6.8520064698,180.240000323,170.733658559,-25.0874117023,-184.427642767,159.340231064,4.6226255441,12.7942839397,162.823090839,0.0,0.0,318.99,319.19,yes,no
feprocess,complex,b-cyclodex--guest-4,635.744583703,415.516572996,220.228010707,309.136307293,-42.9582879587,149.338564611,-49.741584146,6.7832961873,172.6769008,164.017418761,-27.5580122679,-196.71140615,169.153393882,4.7600027379,9.3319463923,158.58495167,0.0,0.0,397.22,398.04,yes,no
feprocess,complex,b-cyclodex--guest-5,648.753860585,428.438753206,220.315107379,321.121720649,-42.0215025697,149.338564611,-48.83371452,6.8122119504,179.259767928,170.491565019,-28.629612298,-199.898882941,171.269270643,4.8613167979,12.1627982016,162.235652929,0.0,0.0,381.84,382.19,yes,no
feprocess,complex,b-cyclodex--guest-6,573.066180623,367.210820625,205.855359999,309.093395508,-85.8558102391,143.9731072,-92.7094820055,6.8536717664,174.423303442,157.945735161,-23.275643095,-190.20298562,166.927342525,5.2390167106,12.1537919153,157.010736365,0.0197584518,0.0,424.76,425.42,yes,no
feprocess,complex,b-cyclodex--guest-7,588.545635219,372.572533987,215.973101232,313.628564957,-90.394212183,149.338564611,-97.2916017421,6.8973895592,174.824156717,165.405287505,-26.6008792642,-196.590158022,169.989278758,5.1093216983,12.3063645621,157.402437102,0.006033354,0.0,440.22,440.89,yes,no
feprocess,complex,b-cyclodex--guest-8,595.232245597,394.053494143,201.178751454,340.072150909,-88.2038804165,142.184621397,-95.0313044587,6.8274240422,170.724703887,191.098614119,-21.7511670969,-191.857130374,170.105963277,5.3966662252,12.144974231,153.160350129,0.022713302,0.0,440.4,440.95,yes,no
feprocess,complex,b-cyclodex--guest-9,566.99247574,361.811715277,205.180760463,308.493311858,-91.5489711502,144.867350102,-98.4015226195,6.8525514694,173.882885155,159.394466515,-24.7840398118,-194.455729876,169.671690064,5.0664483578,11.4757708339,157.332135749,0.0085302144,0.0,454.88,455.13,yes,no
feprocess,complex,b-cyclodex--guest-10,568.400861074,357.642758743,210.758102331,298.550583436,-88.4578882147,147.550078808,-95.3425731957,6.884684981,173.614767469,149.035111035,-24.0992950685,-197.815762391,173.716467323,5.1726274636,11.8992450715,156.538062253,0.0048326804,0.0,480.33,480.57,yes,no
feprocess,complex,b-cyclodex--guest-11,573.422421711,361.497642513,211.924779198,299.202720115,-86.1494183794,148.44432171,-92.9188423047,6.7694239254,175.350608009,151.38398985,-27.5318777437,-205.744042851,178.212165108,5.1905506973,12.3800119397,157.774957101,0.0050882707,0.0,450.19,450.45,yes,no
feprocess,complex,b-cyclodex--guest-12,588.552865017,372.438630053,216.114234964,315.612141821,-93.4063378747,150.232807513,-100.343822082,6.9374842075,173.931339915,169.290602496,-27.6098005898,-201.132598313,173.522797723,5.023657847,11.3281599799,157.573681694,0.0058403936,0.0,461.79,462.1,yes,no
feprocess,complex,b-cyclodex--guest-s13,628.776166028,399.363844969,229.412321059,310.517204656,-64.0686216609,152.915536219,-70.8275767824,6.7589551215,169.776182481,167.541844585,-26.8008224109,-197.862205447,171.061383036,4.7187261341,10.6819012215,154.375555126,0.0,0.0,395.31,396.13,yes,no
feprocess,complex,b-cyclodex--guest-s14,622.821139564,422.793790574,200.02734899,324.317341567,-42.8139304202,141.290378495,-49.6772640079,6.8633335877,172.31311726,172.861892051,-20.8576677434,-177.160170398,156.302502655,4.6546541136,9.7702913644,157.888171782,0.0,0.0,305.97,306.54,yes,no
