run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,ligand,guest-1,36.7040851622,11.0346302269,25.6694549353,47.720373521,-55.4647958276,18.7791009392,-57.600122726,2.1353268985,2.2643174484,44.8926125004,0.5634435723,-5.581042691,6.1444862633,0.1581239624,0.66222566,1.4439678259,0.0,0.0,17.63,18.01,yes,no
feprocess,ligand,guest-2,56.4198911719,21.8412727767,34.5786183952,49.2361471594,-51.5393810581,24.1445583504,-54.0621575869,2.5227765287,3.3848256194,44.9689055848,0.8824159552,-8.2887474269,9.171163382,0.2118844734,0.8155144542,2.3574266918,0.0,0.0,57.29,57.52,yes,no
feprocess,ligand,guest-3,29.6546219062,15.459492767,14.1951291392,5.5195325506,-2.5794302717,12.5194006261,-4.3264353012,1.7470050295,14.0301915299,-9.1041780919,0.5935191126,-3.4216890934,4.015208206,0.0575601222,3.995798462,9.9768329457,0.0,0.0,4.45,4.9,yes,no
feprocess,ligand,guest-4,33.3772099365,7.9496135432,25.4275963932,-8.1184972537,-1.8167384005,17.8848580373,-3.8482185907,2.0314801902,5.9953046968,-16.2403344397,2.1265324892,-8.8609850605,10.9875175497,0.1942513319,0.4947595525,5.3062938123,0.0,0.0,11.31,11.51,yes,no
feprocess,ligand,guest-5,45.9048328278,21.0066759388,24.898156889,5.07890546,-1.9570881471,17.8848580373,-3.9566597123,1.9995715653,12.2199196251,-9.2673310362,2.1263168711,-9.3720645158,11.4983813869,0.2339268881,2.8741078673,9.1118848697,0.0,0.0,17.13,17.48,yes,no
feprocess,ligand,guest-6,-35.9821129987,-45.1597495875,9.1776365888,6.8629400839,-64.5420963047,12.5194006261,-66.4649170671,1.9228207624,6.4470307969,-0.0884559616,0.5043652486,-4.5027898381,5.0071550866,0.0865390297,2.3522731866,4.0077000157,0.000518565,0.0,5.02,5.29,yes,no
feprocess,ligand,guest-7,-17.6296499271,-35.8192544187,18.1896044916,6.8037099718,-60.5071372729,17.8848580373,-62.8253792003,2.3182419274,7.5158560131,-1.5339317117,0.8217856704,-7.094999636,7.9167853064,0.1296533006,2.4733274206,4.9122337161,0.0006415759,0.0,12.14,12.31,yes,no
feprocess,ligand,guest-8,-14.9234716822,-20.8134058497,5.8899341676,32.9232045792,-64.4681619724,10.7309148224,-66.2870430283,1.8188810558,2.6570360787,26.0071210828,4.2590474177,-5.2842619657,9.5433093835,0.4172151761,2.2398124316,8.511e-07,7.6199e-06,0.0,1.33,1.37,yes,no
feprocess,ligand,guest-9,-41.0433921427,-50.3569291052,9.3135369625,0.5578337435,-64.3251273054,13.413643528,-66.3805162334,2.0553889279,5.8340826809,-8.1449647308,2.8687157934,-6.273006338,9.1417221314,0.157991987,2.1430144437,3.5314812809,0.0015949694,0.0,3.4,3.47,yes,no
feprocess,ligand,guest-10,-38.9501841363,-52.1615403574,13.211356221,-5.5755149982,-62.6832737638,16.0963722336,-64.9656373879,2.2823636241,5.8821868888,-14.4731031117,3.0154012247,-7.5848549694,10.6002561941,0.1652462183,2.1830538121,3.5322471229,0.0016397354,0.0,4.11,4.19,yes,no
feprocess,ligand,guest-11,-33.3456613615,-46.2764567096,12.9307953481,-1.0585229338,-62.208741788,16.9906151354,-64.5309321664,2.3221903783,6.7696156801,-11.449165702,3.6210270881,-8.7413261299,12.362353218,0.250306535,2.9900699217,3.5284464529,0.0007927705,0.0,6.95,7.09,yes,no
feprocess,ligand,guest-12,-17.3246401491,-35.630647706,18.306007557,5.6590622557,-60.0688836213,18.7791009392,-62.517739834,2.4488562127,6.0541497199,-3.4411640951,3.0460766309,-8.8515388553,11.8976154862,0.2238210118,2.2855587421,3.5437908781,0.0009790878,0.0,8.12,8.29,yes,no
feprocess,ligand,guest-s13,22.6778036316,-8.1699051605,30.8477087922,24.3047289462,-53.9362057623,21.4618296448,-56.2558846615,2.3196788992,3.3991572628,19.9066671039,0.9989045794,-7.6129412047,8.6118457841,0.2139260757,1.2367618122,1.9484693749,0.0,0.0,22.83,23.11,yes,no
