complex-name,gb-complex-etot,gb-complex-1-4-eel,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-1-4-eel,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-1-4-eel,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg,enthalpy-gb,entropy
10gs,-16145.919,18478.8142,-31052.1742,-3659.463,86.9041,-16042.9095,18034.9833,-30493.1722,-3672.7126,87.992,-115.6647,443.8309,-416.8647,-146.3683,3.7375,-38748.103,-4143.6338,-31052.1742,-3639.199,86.9041,-38133.6991,-4077.8698,-30493.1722,-3650.6491,87.992,-565.1881,-10.1928,-416.8647,-141.8681,3.7375,-8.841926757,-42.9160000000011,-34.0740732430011
1a1e,-9777.1684,7030.7012,-13515.0036,-3349.3791,56.513,-9499.3955,7189.5223,-13366.9577,-3378.1703,56.2103,-320.1633,-158.821,-96.6715,-69.1305,4.4598,-18709.7101,-1951.5817,-13515.0036,-3299.6378,56.513,-18544.8921,-1901.0486,-13366.9577,-3333.0961,56.2103,-173.519,-11.4008,-96.6715,-69.9064,4.4598,-8.289306335,3.2580999999991,11.5474063349991
1a30,-6925.5462,9349.451,-14111.767,-2211.3839,48.1538,-6881.3365,8949.8465,-13675.6929,-2204.7807,49.2906,-243.7531,399.6044,-381.1129,-265.2212,2.9765,-18061.711,-1837.5626,-14111.767,-2160.5351,48.1538,-17583.2732,-1777.04,-13675.6929,-2179.8309,49.2906,-645.4443,-9.3186,-381.1129,-257.9893,2.9765,-5.94066954,148.339400000001,154.280069540001
1a4k,-29413.8956,40100.7078,-61088.2896,-8626.6708,200.3571,-29189.9201,40319.8406,-60991.3946,-8719.3884,201.0223,-243.0495,-219.1329,74.3491,-101.7143,3.4485,-70665.774,-1141.4576,-61088.2896,-8636.3838,200.357,-70604.7723,-1084.3398,-60991.3946,-8730.0602,201.0222,-27.4572,-6.0182,74.3491,-99.2366,3.4485,-11.05240845,-32.0256000000008,-20.9731915500008
1a4r,-14436.7381,16726.9825,-26744.9283,-4516.3615,97.5691,-13647.6149,18021.0326,-27237.1053,-4529.6519,98.1097,-801.7543,-1294.0501,583.2385,-93.9965,3.0538,-32899.722,-1787.6642,-26744.9283,-4464.6987,97.5691,-33350.8858,-1733.7572,-27237.1053,-4478.133,98.1097,486.8763,-5.8718,583.2385,-93.5441,3.0538,-9.201130032,-35.4040999999997,-26.2029699679997
1a4w,-10060.8335,9388.6228,-16007.773,-3500.4882,58.8049,-9898.7146,9430.4623,-15870.8142,-3517.0657,58.703,-190.923,-41.8395,-56.5969,-96.9684,4.4818,-18531.722,882.3856,-16007.773,-3465.1395,58.8049,-18344.9586,947.9481,-15870.8142,-3480.7955,58.703,-161.8844,-13.4556,-56.5969,-96.3138,4.4818,-8.17878225,-23.3028000000013,-15.1240177500013
1a69,-50899.5392,63674.5215,-98270.9992,-16522.1412,219.0797,-50847.0705,63655.6987,-98137.7363,-16584.9029,219.87,-73.4878,18.8228,-43.8491,-50.6504,2.189,-128198.1561,-13930.1825,-98270.9992,-16216.0541,219.0797,-128115.241,-13888.7516,-98137.7363,-16308.6232,219.87,-97.0217,-2.8446,-43.8491,-52.517,2.189,-7.322220596,-17.5671999999977,-10.2449794039977
1a8i,-71310.5668,57025.1136,-116547.7743,-12056.4407,268.5345,-71234.9611,57046.8798,-116473.3084,-12077.7851,269.2525,-94.0834,-21.7662,-32.423,-41.8997,2.0055,-145503.53,-17386.0651,-116547.7743,-11838.225,268.5345,-145458.0355,-17349.3693,-116473.3084,-11904.6104,269.2525,-78.238,-2.9008,-32.423,-44.9196,2.0055,,-15.3172999999952,-15.3172999999952
1a94,-7065.4194,9405.5759,-14502.2577,-2016.7336,47.996,-6979.1838,8857.9436,-13864.3605,-2022.6154,49.8485,-295.7968,547.6323,-573.0702,-276.7751,6.4163,-18251.4433,-1823.457,-14502.2577,-1973.7247,47.996,-17510.726,-1697.8693,-13864.3605,-1998.3447,49.8485,-865.5237,-26.0032,-573.0702,-272.8666,6.4163,-10.84517579,109.976699999999,120.821875789999
1a99,-24780.1502,33300.3128,-50719.6833,-7491.8373,131.0575,-24714.0074,33258.4787,-50167.3662,-7936.5222,131.4023,-61.4634,41.8341,98.513,-203.3729,1.5623,-63003.448,-5129.3644,-50719.6833,-7285.4578,131.0575,-62802.5035,-5088.0074,-50167.3662,-7678.5322,131.4023,-99.077,-0.7778,98.513,-198.3746,1.5623,-7.874841018,-45.2586000000047,-37.3837589820047
