run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
feprocess,complex,cb7--guest1,-0.5724995963,-220.298659873,219.726160277,-205.534710844,-154.26584172,139.501892691,-160.466012761,6.2001710413,220.726515194,-348.658557356,-77.6026686826,-225.152357582,147.549688899,1.669504421,145.722591579,63.8714314337,4.7610927925,4.7018949679,257.39,257.51,yes,no
feprocess,complex,cb7--guest2,-44.8387906621,-288.050586103,243.211795441,-322.813016471,-107.422254109,142.184621397,-113.436335841,6.0140817324,213.559413864,-467.588379928,-68.7840504068,-256.887480275,188.103429868,1.7824129883,128.446702683,76.3534188367,5.2901888135,1.6866905425,274.09,274.25,yes,no
feprocess,complex,cb7--guest3,27.9991290536,-200.891585677,228.89071473,-189.205494528,-156.552973639,144.867350102,-163.031764482,6.4787908429,219.892117259,-331.081359797,-78.0162519894,-228.625003808,150.608751819,1.649071323,145.959709885,63.2244687732,4.8620346814,4.1968325964,366.55,408.9,yes,no
feprocess,complex,cb7--guest4,-47.7630789735,-251.690398656,203.927319683,-270.792683941,-112.351354629,131.453706574,-118.310798311,5.959443682,190.820268642,-393.735345192,-67.8776073914,-200.194379414,132.316772023,0.6506198008,122.589658466,62.3231438375,4.9436944659,0.3131520721,348.19,348.37,yes,no
feprocess,complex,cb7--guest5,81.3891773568,-184.830225964,266.219403321,-176.785457773,-163.643033116,155.598264925,-169.933683699,6.2906505834,212.513182298,-323.484149368,-65.8144907027,-247.677474199,181.862983496,3.8680671628,129.566843777,73.3345532092,5.4400347919,0.3036833576,353.55,353.97,yes,no
feprocess,complex,cb7--guest6,-105.158485669,-306.173405646,201.014919977,-239.831889307,-193.324008404,126.982492065,-199.285392727,5.9613843236,211.242889318,-391.17903979,-59.8957388352,-189.927126937,130.031388102,0.7101630354,123.969628793,81.707916102,4.3464599864,0.5087214009,233.02,233.38,yes,no
feprocess,complex,cb7--guest7,-116.168034886,-316.192220606,200.02418572,-272.751684772,-170.423027899,126.982492065,-176.328145541,5.9051176414,211.803550637,-421.45438971,-63.1008456985,-190.482746754,127.381901056,0.6724190587,124.182580103,82.5131569584,4.1446516391,0.2907428778,254.08,254.54,yes,no
feprocess,complex,cb7--guest8,72.2682131133,-176.338153764,248.606366877,-190.88426147,-141.052151606,155.598264925,-147.701988896,6.6498372902,220.520082736,-325.585678734,-85.8186654716,-250.395983173,164.577317701,2.1985598278,145.321032488,63.757196288,4.870192953,4.3731011789,399.21,399.77,yes,no
feprocess,complex,cb7--guest9,-82.1735728261,-280.001397746,197.827824919,-229.116038424,-177.867757191,126.982492065,-183.780533963,5.9127767718,193.41900977,-357.726679121,-64.8083690729,-190.553758311,125.745389238,0.8468113734,124.508480667,63.6650088778,4.072558368,0.3261504841,239.68,240.05,yes,no
feprocess,complex,cb7--guest10,-52.7073753287,-258.1270687,205.419693372,-279.53370708,-110.941310339,132.347949476,-116.879242857,5.9379325183,196.003517081,-405.548979299,-69.9882448623,-207.296140327,137.307895465,0.8556132238,123.460130422,66.3413286435,5.0283295889,0.318115203,258.97,259.1,yes,no
feprocess,complex,cb7--guest11,-119.054205098,-318.688133333,199.633928235,-276.553480481,-169.117144916,126.982492065,-175.00952269,5.8923777737,211.944851325,-424.896248281,-63.6020835259,-190.508876385,126.906792859,0.7198841605,123.821286265,83.0435484749,4.1296136882,0.2305187373,196.48,196.86,yes,no
feprocess,complex,cb7--guest12,-65.6286623865,-263.44602189,197.817359504,-283.579140656,-106.849373299,126.982492065,-112.737205462,5.8878321632,199.246688973,-419.061984974,-63.7638446547,-186.525699441,122.761854786,0.5065110803,122.51163024,71.4244108265,4.7181968211,0.0859400052,213.21,213.34,yes,no
feprocess,complex,cb7--guest13,-29.9725094181,-239.961025183,209.988515765,-233.27813916,-142.607807107,135.924921084,-148.686446386,6.0786392789,195.675894998,-361.523845317,-67.4301888405,-206.499056193,139.068867353,0.8147911938,123.836746228,66.063031642,4.6111082837,0.3502176511,341.82,342.01,yes,no
feprocess,complex,cb7--guest14,-83.212485898,-296.53857987,213.326093972,-265.897394194,-162.989135106,132.347949476,-168.89436796,5.9052328545,195.512753956,-389.726463692,-71.6836844578,-199.336024636,127.652340178,0.7408152729,124.271999814,66.1718668104,4.0803918409,0.2476802174,272.24,272.38,yes,no
feprocess,complex,cb7--guest15,1.790436792,-221.822778097,223.613214889,-219.254168642,-143.85898795,141.290378495,-149.973329681,6.1143417304,208.3873295,-358.092335392,-69.5491627487,-238.264477094,168.715314346,1.2352959425,127.238341408,65.5871794518,5.0068186463,9.3196940517,341.34,341.77,yes,no
feprocess,complex,cb7--guest16,-50.2072303097,-264.62571675,214.41848644,-240.191302251,-158.571074677,134.13643528,-164.51893246,5.9478577837,192.040841614,-367.098771742,-65.1333721237,-189.940076599,124.806704476,0.5138808602,122.942825069,63.7466413351,4.538273158,0.2992211919,358.68,359.17,yes,no
feprocess,complex,cb7--guest17,-106.259909756,-339.87170273,233.611792974,-317.34668415,-162.026911271,139.501892691,-167.901305887,5.874394616,207.546641609,-444.222788192,-80.6705375665,-242.262214027,161.59167646,1.2065540538,127.036083934,74.6323755913,3.9911797857,0.6804482441,233.53,233.9,yes,no
feprocess,complex,cb7--guest18,-8.0683272999,-230.121132161,222.052804861,-244.494972966,-122.445323181,136.819163985,-128.38438295,5.9390597688,204.019233047,-369.445055297,-79.0691507158,-235.10521178,156.036061065,1.5102365083,124.314639914,72.8463222878,5.2155777776,0.1324565595,255.97,256.4,yes,no
