,Id,TS_comp,TS_host,TS_ligand,exp
0,gilson_cb7--guest1,219.726160277,170.78091847,32.5692961418,-0.9
1,gilson_cb7--guest2,243.211795441,170.78091847,54.0265055743,-0.4
2,gilson_cb7--guest3,228.89071473,170.78091847,41.6555709609,-0.1
3,gilson_cb7--guest4,203.927319683,170.78091847,19.589362696,0.6
4,gilson_cb7--guest5,266.219403321,170.78091847,80.3676733769,0.0
5,gilson_cb7--guest6,201.014919977,170.78091847,16.9303698718,-0.1
6,gilson_cb7--guest7,200.02418572,170.78091847,16.2289002716,-1.2
7,gilson_cb7--guest8,248.606366877,170.78091847,60.7229554491,-0.7
8,gilson_cb7--guest9,197.827824919,170.78091847,16.0704637784,0.4
9,gilson_cb7--guest10,205.419693372,170.78091847,20.1362641984,-0.5
10,gilson_cb7--guest11,199.633928235,170.78091847,17.2008414432,-0.7
11,gilson_cb7--guest12,197.817359504,170.78091847,16.9856304574,-1.7
12,gilson_cb7--guest13,209.988515765,170.78091847,27.620942274,0.4
13,gilson_cb7--guest14,213.326093972,170.78091847,31.4736530064,-0.3
14,gilson_cb7--guest15,223.613214889,170.78091847,38.5811756427,-0.3
15,gilson_cb7--guest16,214.41848644,170.78091847,30.2386333036,0.9
16,gilson_cb7--guest17,233.611792974,170.78091847,48.9229891613,-0.8
17,gilson_cb7--guest18,222.052804861,170.78091847,37.6201677151,-0.4
18,gilson_cb7--guest19,209.055787426,170.78091847,25.827709799,-0.5
19,gilson_cb7--guest20,220.217302805,170.78091847,36.3337380337,0.4
20,gilson_cb7--guest21,221.522283836,170.78091847,37.5623626302,-0.6
21,gilson_cb7--guest22,244.058905094,170.78091847,59.6570549574,-0.1
22,gilson_cb7--guest23,236.613436457,170.78091847,52.0718134594,-0.8
23,gilson_cb7--guest24,227.426515016,170.78091847,44.0008116748,-0.8
24,gilson_cb7--guest25,227.670956327,170.78091847,43.9534923131,0.0
25,gilson_cb7--guest26,233.858093324,170.78091847,48.5697203183,-0.2
26,gilson_cb7--guest27,233.903702853,170.78091847,48.9614335134,-0.6
27,gilson_cb7--guest28,291.889105631,170.78091847,103.496684559,0.2
28,gilson_cb7--guest29,242.496798123,170.78091847,57.9567553095,-0.2
29,mobley_set2_b-cyclodex--guest-1,224.256860644,184.517090838,25.6694549353,-3.086
30,mobley_set2_b-cyclodex--guest-2,234.501587609,184.517090838,34.5786183952,-3.105
31,mobley_set2_b-cyclodex--guest-3,206.517621969,184.517090838,14.1951291392,-1.96
32,mobley_set2_b-cyclodex--guest-4,220.228010707,184.517090838,25.4275963932,-2.371
33,mobley_set2_b-cyclodex--guest-5,220.315107379,184.517090838,24.898156889,-1.6
34,mobley_set2_b-cyclodex--guest-6,205.855359999,184.517090838,9.1776365888,-3.157
35,mobley_set2_b-cyclodex--guest-7,215.973101232,184.517090838,18.1896044916,-3.814
36,mobley_set2_b-cyclodex--guest-8,201.178751454,184.517090838,5.8899341676,-0.87
37,mobley_set2_b-cyclodex--guest-9,205.180760463,184.517090838,9.3135369625,0.093
38,mobley_set2_b-cyclodex--guest-10,210.758102331,184.517090838,13.211356221,0.698
39,mobley_set2_b-cyclodex--guest-11,211.924779198,184.517090838,12.9307953481,-0.552
40,mobley_set2_b-cyclodex--guest-12,216.114234964,184.517090838,18.306007557,-0.779
41,mobley_set2_b-cyclodex--guest-s13,229.412321059,184.517090838,30.8477087922,-3.027
42,mobley_set2_b-cyclodex--guest-s14,200.02734899,184.517090838,8.9416249906,-2.434
43,mobley_set2_b-cyclodex--guest-s15,219.892563362,184.517090838,25.6894278593,-1.885
44,mobley_set2_b-cyclodex--guest-s16,220.414019127,184.517090838,25.4051626899,-2.049
45,mobley_set2_b-cyclodex--guest-s17,227.126679481,184.517090838,30.3377366025,-1.051
46,mobley_set2_b-cyclodex--guest-s18,210.120600981,184.517090838,13.6765524041,-3.59
47,mobley_set2_b-cyclodex--guest-s19,210.092037919,184.517090838,12.8013710513,1.292
48,mobley_set2_b-cyclodex--guest-s20,212.248600458,184.517090838,12.5659618898,0.774
49,mobley_set2_b-cyclodex--guest-s21,218.247154763,184.517090838,19.4366855313,-1.268
50,Sampl3_h1_and_2_host2--guest8,229.473222031,170.780447527,41.6367878026,2.38
51,Sampl3_h1_and_2_host2--guest9,249.047722681,170.780447527,60.7872634603,-3.63
52,Sampl3_h1_and_2_host3--guest8,253.670745116,195.846228873,41.6367878026,-2.4
53,Sampl3_h1_and_2_host3--guest9,272.064747514,195.846228873,60.7872634603,-4.79
54,Sampl6_OA_OA--OA-G0,248.562697075,221.526401604,17.2490408343,-0.8
55,Sampl6_OA_OA--OA-G1,240.596602841,221.526401604,9.9104514147,0.9
56,Sampl6_OA_OA--OA-G2,256.762292962,221.526401604,25.1129616806,3.7
57,Sampl6_OA_OA--OA-G3,239.767870198,221.526401604,8.8305132756,2.4
58,Sampl6_OA_OA--OA-G4,260.988193285,221.526401604,28.6603467525,-0.2
59,Sampl6_OA_OA--OA-G5,241.00630177,221.526401604,9.6384706198,0.7
60,Sampl6_OA_OA--OA-G6,245.156690106,221.526401604,14.821743424,0.3
61,Sampl6_OA_OA--OA-G7,245.262588158,221.526401604,14.9363837283,1.2
62,Sampl6_OA_TEMOA--OA-G0,266.297107091,240.788063095,17.2490408343,1.8
63,Sampl6_OA_TEMOA--OA-G1,259.322873757,240.788063095,9.9104514147,2.3
